,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1979,ATL,DC,28,21,20,26,23,17,19,22,19,16,18,5,22,11,15,12,16,23,25,26,20,20,13,28,11,5,22,26,9,24,27
1,1980,ATL,DC,28,1,1,4,9,3,5,1,8,5,14,4,3,18,9,1,5,8,16,5,7,1,3,1,10,11,28,25,20,6,13
2,1981,ATL,DC,28,17,9,7,13,7,2,15,17,18,14,19,9,4,5,2,20,12,14,18,7,1,2,2,5,5,26,25,27,8,19
3,1982,ATL,DC,28,10,7,18,11,9,14,11,6,9,6,13,14,16,18,19,9,14,14,21,7,6,17,26,23,1,13,13,17,23,19
4,1984,HOU,DC,28,26,20,26,25,23,27,6,25,23,15,18,14,20,17,24,4,11,27,26,27,28,28,27,26,22,4,11,16,25,24
5,1985,HOU,HC,28,22,16,24,28,24,25,14,23,25,20,25,9,13,19,21,14,20,27,23,18,28,28,24,27,5,2,18,26,26,25
6,,HOU,DC,28,22,16,24,28,24,25,14,23,25,20,25,9,13,19,21,14,20,27,23,18,28,28,24,27,5,2,18,26,26,25
7,1986,HOU,HC,28,21,24,21,14,16,23,22,11,19,16,25,7,7,13,24,27,18,13,16,21,24,20,12,14,14,9,8,24,22,14
8,1987,HOU,HC,28,7,15,13,10,8,10,18,12,14,17,17,9,15,7,9,22,6,17,19,11,10,17,9,22,16,19,17,20,6,15
9,1988,HOU,HC,28,5,6,8,9,14,2,19,3,4,2,14,23,25,22,10,10,7,8,22,3,3,4,22,7,3,16,13,18,6,14
10,1989,HOU,HC,28,10,14,18,12,9,7,12,12,12,9,16,19,17,10,8,6,8,13,26,11,8,9,26,13,9,4,17,26,9,25
11,1990,ATL,HC,28,23,18,17,17,10,10,24,19,21,18,23,25,8,6,12,13,12,19,21,5,9,3,10,1,5,26,28,27,14,26
12,1991,ATL,HC,28,9,14,12,15,8,5,19,18,16,26,11,11,15,6,2,22,6,24,20,10,21,23,16,21,11,9,20,28,7,23
13,1992,ATL,HC,28,18,23,22,22,10,11,9,28,27,28,16,14,3,4,1,6,10,28,28,27,20,28,27,28,18,2,22,25,28,27
14,1993,ATL,HC,28,21,28,23,21,11,12,27,27,23,26,10,21,4,6,2,26,13,25,28,22,8,15,21,23,20,14,25,28,19,28
