,Year,Age,Level,Employer,Role
0,1967,26,College,Western Kentucky,Defensive Coordinator
1,1968,27,College,Georgia Tech,DE/OLB
2,1969,28,College,Georgia Tech,DE/OLB
3,1970,29,College,Georgia Tech,DE/OLB
4,1971,30,College,Georgia Tech,DE/OLB
5,1972,31,College,Georgia Tech,DE/OLB
6,1973,32,College,Georgia Tech,DE/OLB
7,1974,33,NFL,Detroit Lions,Special Teams
8,1975,34,NFL,Detroit Lions,Special Teams
9,1976,35,NFL,Detroit Lions,Special Teams
10,1977,36,NFL,Atlanta Falcons,Defensive Backs
11,1978,37,NFL,Atlanta Falcons,Defensive Backs
12,1979,38,NFL,Atlanta Falcons,Defensive Coordinator
13,1980,39,NFL,Atlanta Falcons,Defensive Coordinator
14,1981,40,NFL,Atlanta Falcons,Defensive Coordinator
15,1982,41,NFL,Atlanta Falcons,Defensive Coordinator
16,1984,43,NFL,Houston Oilers,Defensive Coordinator
17,1985,44,NFL,Houston Oilers,Defensive Coordinator/Interim HC
18,1986,45,NFL,Houston Oilers,Head Coach
19,1987,46,NFL,Houston Oilers,Head Coach
20,1988,47,NFL,Houston Oilers,Head Coach
21,1989,48,NFL,Houston Oilers,Head Coach
22,1990,49,NFL,Atlanta Falcons,Head Coach
23,1991,50,NFL,Atlanta Falcons,Head Coach
24,1992,51,NFL,Atlanta Falcons,Head Coach
25,1993,52,NFL,Atlanta Falcons,Head Coach
26,2005,64,College,Hawaii,Defensive Coordinator
27,2006,65,College,Hawaii,Defensive Coordinator
28,2007,66,College,Portland State,Head Coach
29,2008,67,College,Portland State,Head Coach
30,2009,68,College,Portland State,Head Coach
31,2018,77,CFL,Hamilton Tiger-Cats,Defensive Coordinator
32,2020,79,TSL,Conquerors,Head Coach
33,2020,79,XFL,Tampa Bay Vipers,Defensive Coordinator
34,2021,80,TSL,Conquerors,Head Coach
35,2024,83,College,Northwest Oklahoma State,Defensive Coordinator
