,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2008,46,Baltimore Ravens,NFL,16,11,5,0,.688,9.8,4.2,5.6,3,2,1,.667,2,10,5,
1,2009,47,Baltimore Ravens,NFL,16,9,7,0,.563,7.5,2.6,4.9,2,1,1,.500,2,13,7,
2,2010,48,Baltimore Ravens,NFL,16,12,4,0,.750,6.4,0.9,5.5,2,1,1,.500,2,9,1,
3,2011,49,Baltimore Ravens,NFL,16,12,4,0,.750,6.1,2.6,3.5,2,1,1,.500,1,12,7,
4,2012,50,Baltimore Ravens,NFL,16,10,6,0,.625,2.9,1.9,1.0,4,4,0,1.000,1,7,3,Super Bowl Champions
5,2013,51,Baltimore Ravens,NFL,16,8,8,0,.500,-3.5,-5.0,1.4,,,,,3,12,7,
6,2014,52,Baltimore Ravens,NFL,16,10,6,0,.625,4.6,1.8,2.8,2,1,1,.500,3,9,2,
7,2015,53,Baltimore Ravens,NFL,16,5,11,0,.313,-1.9,-0.7,-1.2,,,,,3,8,3,
8,2016,54,Baltimore Ravens,NFL,16,8,8,0,.500,1.5,-1.1,2.6,,,,,2,5,2,
9,2017,55,Baltimore Ravens,NFL,16,9,7,0,.563,3.4,2.2,1.2,,,,,2,7,5,
10,2018,56,Baltimore Ravens,NFL,16,10,6,0,.625,7.0,0.6,6.4,1,0,1,.000,1,7,4,
11,2019,57,Baltimore Ravens,NFL,16,14,2,0,.875,15.6,11.0,4.7,1,0,1,.000,1,6,0,
12,2020,58,Baltimore Ravens,NFL,3,2,1,0,.667,8.5,1.1,7.4,,,,,2,1,0,
