Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1976,BUF,HC,28,26,16,23,16,12,20,24,9,3,19,2,28,10,18,14,13,22,23,24,7,18,23,22,26,4,5,20,20,12,23
1977,BUF,HC,28,24,25,28,17,8,26,22,27,18,28,8,24,1,1,18,22,16,23,25,15,25,25,25,22,20,5,16,24,11,27
1979,NWE,OC,28,11,9,3,3,8,2,15,6,15,15,22,11,13,8,1,16,10,3,15,6,3,5,20,7,3,15,8,3,17,3
1980,NWE,OC,28,10,14,5,7,10,2,9,4,7,5,21,3,26,12,7,25,1,8,17,16,9,11,8,17,25,8,7,25,11,9
1981,NWE,OC,28,27,27,19,18,9,15,26,16,15,3,12,7,17,6,22,28,4,25,22,23,28,28,23,26,14,1,6,10,24,21
1985,BUF,OC,28,27,28,28,24,25,28,28,27,24,20,16,24,11,21,28,28,23,17,20,18,27,26,22,22,17,4,11,21,16,18
1986,BUF,OC,28,24,28,23,22,19,20,19,25,21,23,13,24,19,15,9,10,11,24,20,28,10,9,23,8,28,24,27,11,27,23
1987,BUF,OC,28,15,24,19,16,16,24,25,17,17,23,16,27,7,18,15,15,24,12,12,20,27,22,11,11,16,4,9,20,17,14
1988,BUF,OC,28,1,16,5,6,12,14,10,6,7,12,12,16,23,15,20,7,6,4,3,19,13,12,10,11,7,3,4,6,23,7
