Year,Age,Level,Employer,Role
1969,38,NFL,Chicago Bears,Offensive Line
1970,39,NFL,Chicago Bears,Offensive Line
1971,40,NFL,Chicago Bears,Offensive Line
1972,41,NFL,Buffalo Bills,Offensive Line
1973,42,NFL,Buffalo Bills,Offensive Line
1974,43,NFL,Buffalo Bills,Offensive Line
1975,44,NFL,Buffalo Bills,Offensive Line
1976,45,NFL,Buffalo Bills,Head Coach
1977,46,NFL,Buffalo Bills,Head Coach
1978,47,NFL,New England Patriots,Offensive Line
1979,48,NFL,New England Patriots,Offensive Coordinator
1980,49,NFL,New England Patriots,Offensive Coordinator
1981,50,NFL,New England Patriots,Offensive Coordinator
1982,51,NFL,Los Angeles Rams,Offensive Line
1983,52,NFL,New York Jets,Offensive Line
1984,53,NFL,New York Jets,Offensive Line
1985,54,NFL,Buffalo Bills,Offensive Coordinator
1986,55,NFL,Buffalo Bills,Offensive Coordinator
1987,56,NFL,Buffalo Bills,Offensive Coordinator
1988,57,NFL,Buffalo Bills,Offensive Coordinator
