Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1976,45,BUF,NFL,9,0,9,0,.000,-9.2,-2.5,-6.7,,,,,5,
1977,46,BUF,NFL,14,3,11,0,.214,-7.9,-4.3,-3.7,,,,,4,
