,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2006,NYJ,OC,32,6,17,12,22,25,18,11,7,20,9,30,6,21,17,22,15,16,20,6,24,17,24,17,27,24,26,14,12,17,11
1,2007,NYJ,OC,32,27,20,22,22,26,25,12,13,19,30,23,3,23,25,26,21,26,18,19,31,31,29,23,20,31,5,9,6,20,20
2,2008,NYJ,OC,32,12,19,12,20,16,9,27,19,9,5,5,6,13,16,11,32,21,16,18,5,9,7,6,7,2,29,29,23,15,16
3,2009,NYJ,OC,32,11,16,7,5,20,17,20,1,1,3,5,7,32,31,29,28,21,1,1,8,11,8,11,4,4,7,1,1,13,1
4,2010,NYJ,OC,32,5,5,8,6,11,13,8,2,4,9,8,5,18,22,23,12,22,3,6,8,10,3,12,3,2,15,6,19,25,4
5,2011,NYJ,OC,32,13,19,15,15,25,13,29,16,22,12,30,30,17,21,9,23,25,5,20,5,21,13,27,7,4,8,5,2,10,7
6,2012,STL,OC,32,17,17,22,20,23,25,10,22,19,29,15,9,17,18,18,12,21,14,14,23,20,15,28,19,31,13,15,4,11,13
7,2013,STL,OC,32,20,9,17,27,30,21,10,17,19,23,18,16,28,27,20,7,22,15,13,10,16,9,27,3,1,6,19,7,20,24
8,2014,STL,OC,32,23,19,21,25,28,21,24,26,20,17,17,19,23,23,22,19,21,17,16,14,17,14,17,15,6,9,19,3,18,22
9,2018,SEA,OC,32,8,1,10,19,18,6,1,2,1,11,5,1,32,27,5,2,15,16,11,10,5,13,4,30,1,17,17,14,18,17
10,2019,SEA,OC,32,7,3,14,17,8,9,13,3,4,15,10,28,23,14,4,3,12,26,22,3,7,22,30,28,2,26,27,5,5,24
11,2020,SEA,OC,32,4,10,9,19,17,8,9,17,12,19,6,2,17,16,3,17,19,22,15,10,7,5,22,5,15,32,31,9,12,15
12,2023,DAL,OC,32,2,5,2,3,5,1,2,14,14,15,20,4,8,3,1,6,6,5,5,12,16,16,11,15,17,3,5,10,8,7
13,2024,DAL,OC,32,21,23,26,24,17,21,28,24,27,32,30,32,3,11,13,22,24,28,31,12,21,29,32,30,13,6,17,24,12,28
