,Year,Age,Level,Employer,Role
0,1982,23,NFL,Miami Dolphins,Wide Receivers
1,1983,24,NFL,Miami Dolphins,Wide Receivers
2,1984,25,NFL,Miami Dolphins,Wide Receivers
3,1985,26,NFL,Miami Dolphins,Wide Receivers/QB
4,1986,27,NFL,Miami Dolphins,Wide Receivers/QB
5,1987,28,NFL,Miami Dolphins,Wide Receivers/QB
6,1988,29,NFL,Miami Dolphins,Quarterbacks
7,1989,30,NFL,Dallas Cowboys,Offensive Coordinator
8,1990,31,NFL,Dallas Cowboys,Offensive Coordinator
9,1991,32,NFL,Cincinnati Bengals,Wide Receivers
10,1992,33,NFL,Cincinnati Bengals,Head Coach
11,1993,34,NFL,Cincinnati Bengals,Head Coach
12,1994,35,NFL,Cincinnati Bengals,Head Coach
13,1995,36,NFL,Cincinnati Bengals,Head Coach
14,1996,37,NFL,Cincinnati Bengals,Head Coach
15,2018,59,College,Dartmouth,Wide Receivers
16,2019,60,College,Dartmouth,Wide Receivers
17,2020,61,College,Dartmouth,Wide Receivers
18,2021,62,College,Dartmouth,Wide Receivers
19,2022,63,College,Dartmouth,Wide Receivers
20,2023,64,College,Dartmouth,Wide Receivers
