Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2021,DET,DC,32,31,22,27,28,22,25,17,21,19,24,11,17,15,18,16,14,24,29,31,21,29,28,26,21,11,6,24,26,22,32
2022,DET,DC,32,11,4,9,21,4,5,1,13,11,3,15,7,11,8,8,2,5,32,28,17,21,29,29,30,11,15,30,23,19,31
2023,DET,DC,32,2,16,8,8,3,5,19,7,5,1,5,20,9,2,4,13,3,19,23,18,3,2,17,3,27,22,27,27,11,29
2024,DET,DC,32,1,8,1,3,2,1,6,3,6,2,9,2,16,2,4,16,2,20,7,10,1,5,18,22,16,29,30,2,5,23
