Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2006,50,MIN,NFL,16,6,10,0,.375,-4.1,-3.7,-0.4,,,,,3,12,4,
2007,51,MIN,NFL,16,8,8,0,.500,3.8,1.4,2.4,,,,,2,11,4,
2008,52,MIN,NFL,16,10,6,0,.625,4.0,1.1,2.9,1,0,1,.000,1,8,5,
2009,53,MIN,NFL,16,12,4,0,.750,7.2,6.6,0.6,2,1,1,.500,1,9,5,
2010,54,MIN,NFL,10,3,7,0,.300,-1.6,-3.3,1.7,,,,,4,6,2,Fired after Week 11
