,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2002,PHI,OC,32,1,4,1,6,10,4,7,5,7,14,8,15,18,19,3,6,19,4,2,3,5,9,1,20,1,23,7,7,20,2
1,2003,PHI,OC,32,3,8,8,20,18,11,5,25,9,2,5,13,25,20,20,4,20,20,7,18,21,22,17,23,7,28,16,6,25,9
2,2004,PHI,OC,32,3,11,4,9,9,8,7,31,24,19,10,14,9,7,4,3,9,10,2,17,16,16,17,19,19,29,12,3,15,4
3,2005,PHI,OC,32,19,23,24,23,19,18,25,30,28,17,17,21,3,8,12,26,23,23,27,18,28,21,20,10,23,13,21,26,10,24
4,2006,MIN,HC,32,24,10,22,15,23,26,23,17,16,18,14,16,9,18,30,25,26,8,14,3,1,1,4,1,5,32,31,4,5,18
5,2007,MIN,HC,32,14,13,10,18,13,15,19,6,1,1,1,26,32,28,29,6,19,20,12,9,4,1,3,2,5,32,32,15,20,18
6,2008,MIN,HC,32,10,24,13,9,17,12,27,3,5,14,6,29,28,25,11,23,19,6,13,15,2,1,6,2,8,22,18,5,21,13
7,2009,MIN,HC,32,4,8,3,4,5,2,3,9,13,6,22,17,10,8,1,1,7,6,10,22,1,2,1,6,6,18,19,23,26,16
8,2010,MIN,HC,32,20,29,25,17,23,29,29,12,10,7,9,17,21,26,28,32,28,8,18,17,15,9,10,9,13,14,9,21,17,13
9,2012,CLE,OC,32,26,12,24,29,25,24,17,24,24,13,21,9,13,19,28,26,25,23,19,9,23,19,21,13,8,27,25,21,11,17
10,2016,KAN,OC,32,3,1,4,28,20,13,8,14,15,13,16,13,25,19,24,7,16,24,7,1,24,26,5,24,1,27,18,15,1,16
