Year,Age,Level,Employer,Role
1978,22,College,Illinois,Running Backs
1979,23,College,Illinois,Running Backs
1980,24,College,Illinois,Running Backs
1981,25,College,Illinois,Wide Receivers
1982,26,College,Illinois,Wide Receivers
1983,27,College,Illinois,Wide Receivers
1984,28,College,Illinois,Wide Receivers
1985,29,NFL,Indianapolis Colts,Quarterbacks
1986,30,College,Northern Arizona,Offensive Coordinator
1987,31,College,Northern Arizona,Offensive Coordinator
1988,32,College,Northern Arizona,Offensive Coordinator
1989,33,College,Northern Arizona,Offensive Coordinator
1990,34,College,Utah,Wide Receivers
1991,35,College,Wisconsin,Quarterbacks
1992,36,College,Wisconsin,Quarterbacks
1993,37,College,Wisconsin,Quarterbacks
1994,38,College,Wisconsin,Offensive Coordinator
1995,39,College,Wisconsin,Offensive Coordinator
1996,40,College,Wisconsin,Offensive Coordinator
1997,41,College,Wisconsin,Offensive Coordinator
1998,42,College,Wisconsin,Offensive Coordinator
1999,43,NFL,Philadelphia Eagles,Quarterbacks
2000,44,NFL,Philadelphia Eagles,Quarterbacks
2001,45,NFL,Philadelphia Eagles,Quarterbacks
2002,46,NFL,Philadelphia Eagles,Offensive Coordinator
2003,47,NFL,Philadelphia Eagles,Offensive Coordinator
2004,48,NFL,Philadelphia Eagles,Offensive Coordinator
2005,49,NFL,Philadelphia Eagles,Offensive Coordinator
2006,50,NFL,Minnesota Vikings,Head Coach
2007,51,NFL,Minnesota Vikings,Head Coach
2008,52,NFL,Minnesota Vikings,Head Coach
2009,53,NFL,Minnesota Vikings,Head Coach
2010,54,NFL,Minnesota Vikings,Head Coach
2012,56,NFL,Cleveland Browns,Offensive Coordinator
2013,57,NFL,Kansas City Chiefs,Spread Game Analyst
2014,58,NFL,Kansas City Chiefs,Spread Game Analyst
2015,59,NFL,Kansas City Chiefs,Spread Game Analyst
2016,60,NFL,Kansas City Chiefs,Co-Offensive Coordinator
2017,61,NFL,Kansas City Chiefs,Assistant Head Coach
2018,62,NFL,Chicago Bears,Offensive Consultant
2019,63,NFL,Chicago Bears,Senior Offensive Asst.
