Year,Age,Level,Employer,Role
1916,35,High School,Masten Park HS (Buffalo NY),Head Coach
1917,36,High School,Masten Park HS (Buffalo NY),Head Coach
1918,37,High School,Masten Park HS (Buffalo NY),Head Coach
1919,38,High School,Masten Park HS (Buffalo NY),Head Coach
1920,39,High School,Masten Park HS (Buffalo NY),Head Coach
1921,40,High School,Masten Park HS (Buffalo NY),Head Coach
1922,41,College,Buffalo,Head Coach
1925,44,NFL,Buffalo Bisons,Assistant Coach
1926,45,NFL,Buffalo Rangers,Assistant Coach
1927,46,NFL,Buffalo Bisons,Head Coach
