,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,252,3994.0,925.0,4.3,34.0,14,256.0,285,514,2780,14,20,4.8,156.0,350,1214,6,3.5,65.0,97,720,35.0,183.0,24.6,16.9,32.2,2.5666666666666664,5.22,21.7,1.17,197.0,57.0,0.289,13.0,6.0,0.462,37.0,13.0,0.35100000000000003
1,buf,315,5498.0,1080.0,5.1,23.0,13,309.0,312,546,3576,20,10,5.9,174.0,475,1922,11,4.0,111.0,101,913,24.0,200.0,29.0,10.5,29.4,2.5833333333333335,5.59,27.4,1.51,247.0,92.0,0.37200000000000005,12.0,9.0,0.75,56.0,27.0,0.48200000000000004
2,car,310,4654.0,998.0,4.7,35.0,16,304.0,340,566,3468,19,19,5.5,201.0,363,1186,7,3.3,63.0,84,683,40.0,176.0,32.4,18.2,32.0,2.7333333333333334,5.87,26.4,1.56,198.0,78.0,0.39399999999999996,14.0,8.0,0.5710000000000001,57.0,22.0,0.386
3,chi,216,4541.0,993.0,4.6,29.0,13,239.0,304,542,2805,12,16,4.9,143.0,417,1736,6,4.2,89.0,90,696,7.0,194.0,20.1,14.4,29.0,2.35,5.26,23.3,0.97,222.0,67.0,0.302,25.0,11.0,0.44,26.0,11.0,0.423
4,cin,185,4260.0,1001.0,4.3,35.0,21,254.0,207,454,1946,6,14,3.8,109.0,495,2314,13,4.7,119.0,99,878,26.0,189.0,16.4,15.3,28.3,2.3,5.41,22.3,0.89,227.0,77.0,0.33899999999999997,25.0,10.0,0.4,33.0,13.0,0.39399999999999996
5,cle,161,3530.0,859.0,4.1,28.0,9,176.0,278,483,2445,9,19,4.7,110.0,336,1085,7,3.2,53.0,103,925,13.0,190.0,15.8,13.7,28.5,2.183333333333333,4.62,18.6,0.81,210.0,58.0,0.276,19.0,6.0,0.316,32.0,15.0,0.469
6,clt,429,6141.0,1026.0,6.0,29.0,14,357.0,357,571,4282,33,15,7.2,213.0,435,1859,14,4.3,111.0,89,866,33.0,178.0,40.4,15.2,29.3,2.65,5.92,34.5,2.27,201.0,94.0,0.46799999999999997,10.0,9.0,0.9,53.0,32.0,0.604
7,crd,210,4528.0,932.0,4.9,44.0,20,253.0,316,554,3250,16,24,5.5,156.0,343,1278,6,3.7,71.0,96,785,26.0,176.0,21.6,22.2,30.9,2.4166666666666665,5.43,25.7,1.15,199.0,75.0,0.377,27.0,8.0,0.29600000000000004,44.0,14.0,0.318
8,dal,294,4475.0,943.0,4.7,39.0,18,276.0,255,445,2522,14,21,5.3,128.0,463,1953,15,4.2,116.0,108,963,32.0,186.0,29.0,19.9,31.3,2.5,5.25,24.0,1.49,195.0,70.0,0.359,18.0,10.0,0.556,47.0,23.0,0.489
9,den,485,6554.0,1115.0,5.9,25.0,13,383.0,354,569,4243,28,12,7.1,223.0,516,2311,21,4.5,124.0,89,792,36.0,196.0,38.3,11.7,30.9,2.716666666666667,5.86,33.5,2.15,218.0,97.0,0.445,17.0,9.0,0.529,59.0,33.0,0.5589999999999999
