,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1924,25,DUL,NFL,6,5,1,0,.833,8.8,0.5,8.3,,,,,4,
1,1925,26,DUL,NFL,3,0,3,0,.000,-6.4,-7.3,0.9,,,,,16,
2,1926,27,DUL,NFL,14,6,5,3,.545,6.4,2.7,3.6,,,,,8,
3,1929,30,CRD,NFL,13,6,6,1,.500,5.7,2.3,3.4,,,,,4,
