,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1970,MIA,DC,26,4,7,8,14,11,11,8,4,3,7,5,3,23,20,15,10,9,15,5,7,2,7,7,13,12,22,22,15,6,24
1,1971,MIA,DC,26,3,7,3,4,5,4,1,9,1,15,1,7,23,19,4,1,8,5,3,21,4,8,8,15,15,18,6,3,18,7
2,1972,MIA,DC,26,1,2,1,1,1,1,5,1,1,1,2,16,24,16,11,3,3,1,1,2,1,3,3,9,1,13,5,3,2,3
3,1973,MIA,DC,26,1,12,2,4,9,5,5,12,3,6,2,14,24,21,8,3,6,3,1,22,16,12,8,7,26,6,1,1,5,1
4,1974,NYG,HC,26,25,23,23,23,18,22,17,21,20,18,22,5,7,14,15,24,14,24,23,22,23,16,12,10,23,24,23,24,22,20
5,1975,NYG,HC,26,15,21,20,22,22,23,14,16,24,10,26,19,14,17,21,12,20,21,17,26,20,23,15,23,25,8,14,21,18,21
6,1976,MIA,DC,28,15,8,15,22,13,15,1,19,13,11,6,1,22,10,15,8,8,26,15,19,16,22,13,25,13,9,28,24,22,28
7,,NYG,HC,28,24,24,19,19,22,25,17,14,21,19,26,3,23,19,24,25,19,16,14,23,24,18,13,11,17,4,10,4,20,18
8,1977,MIA,DC,28,4,9,5,10,10,3,5,12,5,6,2,7,23,16,2,5,9,16,5,15,6,6,15,14,7,27,24,3,23,14
9,1978,MIA,DC,28,4,1,3,20,13,2,1,21,11,8,5,3,23,15,5,8,7,23,6,1,7,16,11,22,3,16,26,9,1,23
10,1979,MIA,DC,28,6,12,4,7,16,11,12,12,17,9,17,8,21,14,9,12,9,4,4,14,2,2,2,5,20,4,12,9,10,19
11,1980,MIA,DC,28,14,11,19,23,26,24,23,19,17,25,20,17,12,24,14,22,27,14,9,3,16,15,10,11,6,17,15,12,3,15
12,1981,MIA,DC,28,4,12,8,14,16,11,4,11,10,9,14,1,14,16,19,11,16,15,5,23,10,14,2,20,22,17,19,18,18,13
13,1982,MIA,DC,28,3,7,3,8,19,10,14,1,3,8,8,14,27,27,23,15,19,1,2,3,18,24,9,28,18,1,1,2,1,1
14,1983,MIA,DC,28,2,2,2,14,16,7,2,6,13,14,23,10,24,19,8,2,5,7,1,10,7,13,5,25,13,7,8,6,7,8
15,1992,SDG,DC,28,4,12,7,5,6,9,14,6,9,6,18,8,9,7,16,18,8,4,4,7,3,2,9,10,23,20,9,11,2,7
16,1993,SDG,DC,28,14,1,10,19,14,10,2,13,10,3,11,1,6,17,13,9,24,18,12,9,6,2,14,1,18,22,28,11,5,24
17,1994,SDG,DC,28,4,6,6,11,11,5,3,8,7,9,9,5,16,12,13,5,11,14,9,10,4,5,11,16,6,21,22,11,13,11
