Year,Age,Level,Employer,Role
1950,24,College,Miami (OH),Defensive Line
1951,25,College,Ohio State,Defensive Line
1952,26,College,Ohio State,Defensive Line
1953,27,College,Ohio State,Defensive Line
1954,28,College,Kentucky,Defensive Line
1955,29,College,Kentucky,Defensive Line
1956,30,College,Kentucky,Defensive Line
1957,31,College,Kentucky,Defensive Line
1958,32,College,Kentucky,Defensive Line
1959,33,College,Kentucky,Defensive Line
1960,34,College,Kentucky,Defensive Line
1961,35,College,Kentucky,Defensive Line
1962,36,College,Tulane,Defensive Line
1963,37,College,Tulane,Defensive Line
1964,38,NFL,Baltimore Colts,Defensive Line
1965,39,NFL,Baltimore Colts,Defensive Line
1966,40,NFL,Baltimore Colts,Defensive Line
1967,41,NFL,Baltimore Colts,Defensive Line
1968,42,NFL,Baltimore Colts,Defensive Line
1969,43,NFL,Baltimore Colts,Defensive Line
1970,44,NFL,Miami Dolphins,Defensive Coordinator
1970,44,NFL,Miami Dolphins,Defensive Coordinator/Linebackers
1971,45,NFL,Miami Dolphins,Defensive Coordinator
1971,45,NFL,Miami Dolphins,Defensive Coordinator/Linebackers
1972,46,NFL,Miami Dolphins,Defensive Coordinator
1972,46,NFL,Miami Dolphins,Defensive Coordinator/Linebackers
1973,47,NFL,Miami Dolphins,Defensive Coordinator
1973,47,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1974,48,NFL,New York Giants,Head Coach
1975,49,NFL,New York Giants,Head Coach
1976,50,NFL,Miami Dolphins,Defensive Coordinator
1976,50,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1976,50,NFL,New York Giants,Head Coach
1977,51,NFL,Miami Dolphins,Defensive Coordinator
1977,51,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1978,52,NFL,Miami Dolphins,Defensive Coordinator
1978,52,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1979,53,NFL,Miami Dolphins,Defensive Coordinator
1979,53,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1980,54,NFL,Miami Dolphins,Defensive Coordinator
1980,54,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1981,55,NFL,Miami Dolphins,Defensive Coordinator
1981,55,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1982,56,NFL,Miami Dolphins,Defensive Coordinator
1982,56,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1983,57,NFL,Miami Dolphins,Defensive Coordinator
1983,57,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach
1984,58,College,LSU,Head Coach
1985,59,College,LSU,Head Coach
1986,60,College,LSU,Head Coach
1992,66,NFL,San Diego Chargers,Defensive Coordinator
1993,67,NFL,San Diego Chargers,Defensive Coordinator
1994,68,NFL,San Diego Chargers,Defensive Coordinator
