,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2021,40,PHI,NFL,17,9,8,0,.529,2.5,2.6,-0.1,1,0,1,.000,2,7,5,
1,2022,41,PHI,NFL,17,14,3,0,.824,6.5,5.8,0.7,3,2,1,.667,1,3,1,NFC Champions
2,2023,42,PHI,NFL,8,7,1,0,.875,4.0,5.1,-1.1,,,,,1,0,0,
