Year,Age,Level,Employer,Role
2004,23,College (NCAA D-III),Mount Union,Defensive Backs
2005,24,College (NCAA D-III),Mount Union,Defensive Backs
2006,25,College (NCAA D-II),Indiana (PA),Wide Receivers
2007,26,College (NCAA D-II),Indiana (PA),Wide Receivers
2008,27,College (NCAA D-II),Indiana (PA),Wide Receivers
2009,28,NFL,Kansas City Chiefs,Offensive Quality Control
2010,29,NFL,Kansas City Chiefs,Asst. Quarterbacks
2011,30,NFL,Kansas City Chiefs,Offensive Quality Control
2012,31,NFL,Kansas City Chiefs,Wide Receivers
2013,32,NFL,San Diego Chargers,Offensive Quality Control
2014,33,NFL,San Diego Chargers,Quarterbacks
2015,34,NFL,San Diego Chargers,Quarterbacks
2016,35,NFL,San Diego Chargers,Wide Receivers
2017,36,NFL,Los Angeles Chargers,Wide Receivers
2018,37,NFL,Indianapolis Colts,Offensive Coordinator
2019,38,NFL,Indianapolis Colts,Offensive Coordinator
2020,39,NFL,Indianapolis Colts,Offensive Coordinator
2021,40,NFL,Philadelphia Eagles,Head Coach
2022,41,NFL,Philadelphia Eagles,Head Coach
2023,42,NFL,Philadelphia Eagles,Head Coach
2024,43,NFL,Philadelphia Eagles,Head Coach
2025,44,NFL,Philadelphia Eagles,Head Coach
