Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2001,50,CLE,NFL,16,7,9,0,.438,-0.8,-0.9,0.1,,,,,3,8,5,
2002,51,CLE,NFL,16,9,7,0,.563,1.2,-0.4,1.7,1,0,1,.000,2,11,6,
2003,52,CLE,NFL,16,5,11,0,.313,-2.9,-5.3,2.4,,,,,4,6,1,
2004,53,CLE,NFL,11,3,8,0,.273,-3.4,-1.5,-1.9,,,,,4,4,1,Fired after week 12
