,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1923,NFL,Toledo Maroons,3,3,2,10th of 20,,35,66,-31,Falcon,,,,,14,1,13,1,1,14,1,20,-3.9,-0.7,-4.6,-6.4,1.8
1,1922,NFL,Toledo Maroons,5,2,2,4th of 18,,94,59,35,Falcon,,,,,5,1,8,1,1,8,1,18,3.9,-8.9,-5.0,-3.5,-1.5
