,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1971,RAM,HC,26,10,10,10,10,8,5,6,16,7,7,2,17,12,16,6,2,17,14,8,15,14,7,10,9,25,20,20,11,3,13
1,1972,RAM,HC,26,16,17,15,9,7,14,9,15,5,6,3,2,12,13,16,17,16,11,16,19,7,9,4,12,22,17,12,23,18,10
2,1974,SDG,HC,26,19,19,20,18,7,20,14,8,8,9,8,7,21,10,15,17,8,26,19,19,20,23,26,21,14,11,26,8,22,26
3,1975,SDG,HC,26,25,11,23,26,25,25,5,24,18,13,7,5,23,25,25,7,24,23,20,18,26,24,21,18,17,16,19,12,14,20
4,1976,SDG,HC,28,15,15,17,15,11,19,7,22,17,18,7,6,9,8,9,15,10,22,18,18,13,14,2,13,25,20,27,25,11,26
5,1977,SDG,HC,28,14,12,11,9,15,18,11,18,22,18,20,4,11,9,20,12,7,6,6,19,10,16,10,15,25,9,6,12,11,3
6,1978,SDG,HC,28,8,27,7,4,4,6,26,9,20,12,25,21,4,1,2,23,3,8,21,19,4,15,5,24,18,18,7,27,13,3
