Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2020,45,CAR,NFL,16,5,11,0,.313,-1.1,-2.4,1.3,,,,,3,6,3,
2021,46,CAR,NFL,17,5,12,0,.294,-5.5,-5.0,-0.5,,,,,4,3,1,
2022,47,CAR,NFL,5,1,4,0,.200,-2.2,-1.3,-0.9,,,,,2,1,0,Fired after week 5
