,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,bkn,158.0,2798.0,646.0,4.3,28.0,10.0,132.0,90.0,202.0,1131.0,5.0,18.0,5.6,44.0,444.0,1667.0,14.0,3.8,82.0,38.0,371.0,6.0,,,,,,,,,,,,,,,,,
1,chi,396.0,4158.0,691.0,6.0,30.0,19.0,181.0,98.0,196.0,2002.0,19.0,11.0,10.2,56.0,495.0,2156.0,30.0,4.4,112.0,77.0,677.0,13.0,,,,,,,,,,,,,,,,,
2,crd,127.0,2745.0,638.0,4.3,32.0,12.0,138.0,117.0,252.0,1659.0,6.0,20.0,6.6,64.0,386.0,1086.0,8.0,2.8,66.0,41.0,446.0,8.0,,,,,,,,,,,,,,,,,
3,det,121.0,1829.0,548.0,3.3,31.0,11.0,86.0,58.0,187.0,854.0,5.0,20.0,4.6,29.0,361.0,975.0,7.0,2.7,51.0,52.0,455.0,6.0,,,,,,,,,,,,,,,,,
4,gnb,258.0,3281.0,720.0,4.6,24.0,11.0,166.0,133.0,253.0,1731.0,17.0,13.0,6.8,69.0,467.0,1550.0,13.0,3.3,82.0,47.0,509.0,15.0,,,,,,,,,,,,,,,,,
5,nyg,238.0,2384.0,589.0,4.0,26.0,14.0,110.0,68.0,156.0,1088.0,11.0,12.0,7.0,33.0,433.0,1296.0,16.0,3.0,68.0,40.0,323.0,9.0,,,,,,,,,,,,,,,,,
6,phi,119.0,2212.0,609.0,3.6,42.0,15.0,128.0,115.0,249.0,1363.0,10.0,27.0,5.5,59.0,360.0,849.0,6.0,2.4,60.0,54.0,407.0,9.0,,,,,,,,,,,,,,,,,
7,pit,103.0,1867.0,549.0,3.4,49.0,15.0,75.0,42.0,168.0,654.0,5.0,34.0,3.9,18.0,381.0,1213.0,9.0,3.2,49.0,44.0,363.0,8.0,,,,,,,,,,,,,,,,,
8,ram,116.0,2303.0,628.0,3.7,43.0,8.0,121.0,123.0,285.0,1352.0,10.0,35.0,4.7,44.0,343.0,951.0,4.0,2.8,68.0,29.0,265.0,9.0,,,,,,,,,,,,,,,,,
9,was,176.0,2660.0,668.0,4.0,41.0,11.0,135.0,134.0,262.0,1563.0,11.0,30.0,6.0,64.0,406.0,1097.0,7.0,2.7,62.0,50.0,402.0,9.0,,,,,,,,,,,,,,,,,
