Year,Age,Level,Employer,Role
1964,24,College,Western Kentucky,Graduate Assistant
1965,25,College,Western Kentucky,Graduate Assistant
1966,26,College,Western Kentucky,Graduate Assistant
1967,27,College,Western Kentucky,Graduate Assistant
1968,28,College,Western Kentucky,Graduate Assistant
1969,29,College,Navy,Assistant
1970,30,College,Navy,Assistant
1971,31,College,Navy,Assistant
1972,32,College,Navy,Assistant
1973,33,College,Iowa State,Assistant
1974,34,College,Ohio State,Assistant
1975,35,NFL,Detroit Lions,Offensive Line
1976,36,NFL,Detroit Lions,Offensive Line
1977,37,NFL,Houston Oilers,Offensive Line
1978,38,NFL,Houston Oilers,Offensive Line
1979,39,NFL,Houston Oilers,Offensive Line
1980,40,NFL,Houston Oilers,Offensive Line
1981,41,NFL,Washington Redskins,Offensive Coordinator/OL
1982,42,NFL,Washington Redskins,Offensive Coordinator/OL
1983,43,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1984,44,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1985,45,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1986,46,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1987,47,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1988,48,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1989,49,NFL,Washington Redskins,Offensive Coordinator/Assistant Head Coach/OL
1990,50,NFL,Phoenix Cardinals,Head Coach
1991,51,NFL,Phoenix Cardinals,Head Coach
1992,52,NFL,Phoenix Cardinals,Head Coach
1993,53,NFL,Phoenix Cardinals,Head Coach
1995,55,NFL,Oakland Raiders,Offensive Coordinator
1996,56,NFL,Oakland Raiders,Offensive Coordinator
1997,57,NFL,Oakland Raiders,Head Coach
1998,58,NFL,San Diego Chargers,Offensive Line
1999,59,NFL,San Diego Chargers,Offensive Line
2000,60,NFL,San Diego Chargers,Offensive Line
2001,61,NFL,San Diego Chargers,Offensive Line
2004,64,NFL,Washington Redskins,Offensive Line
2005,65,NFL,Washington Redskins,Offensive Line
2006,66,NFL,Washington Redskins,Offensive Line
2007,67,NFL,Washington Redskins,Offensive Line
2008,68,NFL,Washington Redskins,Offensive Line
2009,69,NFL,Washington Redskins,Offensive Line
