,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1995,CAR,DC,30,18,21,22,22,26,25,28,15,20,19,30,22,18,24,25,30,24,7,8,5,18,10,26,4,8,23,14,4,6,6
1,1996,CAR,DC,30,3,3,2,13,23,7,7,4,15,19,24,20,23,22,12,1,15,10,2,5,2,8,4,26,4,22,12,6,7,5
2,1997,CAR,DC,30,17,27,20,22,26,27,26,19,15,18,14,22,14,26,21,28,29,15,13,26,25,22,12,17,21,5,9,8,27,14
3,1998,CAR,DC,30,25,17,23,28,20,12,27,24,28,16,25,27,18,14,9,18,14,30,27,7,24,26,23,25,7,12,28,30,10,29
4,1999,IND,DC,31,2,19,4,8,4,3,10,21,19,6,16,11,13,4,4,15,2,15,17,27,8,18,18,26,13,20,19,17,30,13
5,2000,IND,DC,31,9,22,7,9,3,4,15,16,16,12,9,20,8,2,2,9,2,21,15,25,20,25,16,23,27,14,18,16,23,18
6,2001,IND,DC,31,22,28,23,10,2,2,27,17,7,4,4,25,7,2,4,27,3,29,31,23,19,25,29,29,24,9,27,29,20,26
7,2002,HOU,DC,32,29,26,29,32,32,32,16,21,31,31,32,20,32,32,32,12,32,16,20,30,32,28,11,14,17,6,10,18,26,11
8,2003,HOU,DC,32,23,25,29,32,31,28,12,22,23,14,21,7,31,29,28,18,21,31,27,25,30,31,23,22,27,11,31,21,20,32
9,2004,HOU,DC,32,18,13,20,22,19,21,11,10,12,6,23,14,24,18,26,11,16,23,15,13,7,13,1,23,28,24,24,30,5,24
10,2005,HOU,DC,32,32,25,31,31,30,26,10,19,15,25,11,12,28,30,26,7,32,31,32,32,28,32,29,30,27,4,24,26,31,31
11,2011,SFO,DC,32,2,1,4,14,26,11,1,3,8,12,19,1,31,29,24,1,20,4,2,1,2,1,1,1,1,23,16,8,2,9
12,2012,SFO,DC,32,5,8,4,3,11,11,2,7,4,6,3,9,31,23,16,1,8,3,2,14,9,4,4,3,13,21,4,7,16,3
13,2013,SFO,DC,32,3,4,3,14,24,11,2,3,3,4,11,16,32,30,23,1,10,5,3,6,7,4,11,9,5,21,7,5,10,9
14,2014,SFO,DC,32,17,6,22,15,20,25,11,9,4,21,4,24,29,30,22,5,28,5,10,4,10,7,4,11,27,17,5,25,1,9
15,2015,CHI,DC,32,22,19,21,16,21,23,13,6,11,12,19,15,25,23,23,11,13,14,20,28,21,23,8,26,16,5,4,25,30,18
16,2016,CHI,DC,32,29,31,28,12,15,28,30,25,17,22,6,28,22,14,24,28,10,15,24,32,26,27,25,21,30,4,7,11,29,17
17,2017,CHI,DC,32,25,15,20,26,30,29,14,18,16,11,11,19,32,32,31,11,25,10,9,13,16,11,9,12,1,10,7,5,29,14
18,2018,CHI,DC,32,3,3,4,5,21,9,22,6,11,7,27,21,24,21,14,21,14,3,1,1,2,1,1,4,14,29,7,8,1,1
19,2019,DEN,HC,32,17,13,21,25,28,28,6,14,20,22,21,2,27,28,32,12,24,12,10,25,20,16,5,13,24,10,11,5,25,15
20,2020,DEN,HC,32,24,32,29,26,23,28,32,13,13,22,15,18,19,26,25,32,25,21,25,29,20,25,28,29,25,20,16,2,23,13
21,2021,DEN,HC,32,22,15,17,17,19,23,6,14,13,14,10,17,24,19,25,5,16,8,3,21,15,15,1,14,26,11,8,5,15,16
22,2023,MIA,DC,32,2,25,5,1,1,1,19,19,1,1,1,12,15,1,1,23,1,15,25,24,19,17,24,13,18,16,16,25,26,16
