,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1966,DAL,DC,15,2,5,1,1,1,1,1,4,2,1,2,1,7,1,3,2,4,2,4,11,1,1,1,3,8,15,7,8,12,2
1,1967,DAL,DC,16,4,4,4,4,5,6,14,3,5,9,7,8,8,6,4,14,8,7,6,1,1,1,4,2,1,16,11,9,3,7
2,1968,SFO,HC,16,7,11,8,5,3,6,10,10,9,10,6,7,3,2,4,12,4,7,9,11,11,8,8,9,13,13,7,8,8,4
3,1969,SFO,HC,16,12,9,11,3,2,10,11,13,12,7,9,5,1,1,6,13,7,7,10,9,8,7,8,8,10,9,9,10,6,8
4,1970,SFO,HC,26,3,1,6,7,2,1,3,5,17,9,21,15,17,1,2,1,1,13,14,4,12,18,17,22,1,18,9,18,10,7
5,1971,SFO,HC,26,8,21,7,3,3,9,17,6,9,12,8,17,7,4,6,15,6,6,6,22,5,9,2,14,10,7,7,18,24,9
6,1972,SFO,HC,26,8,15,5,11,8,4,19,20,21,18,24,11,8,2,1,23,5,14,9,7,11,13,10,15,6,20,15,9,12,9
7,1973,SFO,HC,26,17,20,16,14,8,14,19,23,21,8,11,8,2,4,22,21,16,20,19,17,18,10,10,6,16,23,22,23,13,17
8,1974,SFO,HC,26,17,16,15,13,14,19,25,13,11,21,9,14,17,19,11,25,16,12,11,4,19,18,10,17,2,6,6,13,12,11
9,1975,SFO,HC,26,15,25,14,13,16,16,21,26,25,19,19,26,2,5,15,13,14,10,14,23,14,9,9,2,12,22,11,11,25,7
10,1978,NOR,HC,28,18,2,16,9,8,16,2,27,26,10,22,7,3,5,10,1,5,15,16,14,15,21,1,23,7,9,13,23,19,14
11,1979,NOR,HC,28,16,8,14,14,4,6,9,15,6,1,4,6,19,11,20,12,1,22,22,8,10,23,20,28,14,23,20,24,5,13
12,1980,NOR,HC,28,28,27,28,27,17,21,8,28,28,25,13,8,4,4,9,9,12,28,28,28,28,28,27,28,20,3,12,28,28,24
13,1981,HOU,DC,28,17,22,24,27,27,23,20,24,23,21,22,22,24,23,12,16,20,24,18,27,22,24,14,25,28,12,17,14,18,18
