Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1920,25,CRD,APFA,10,6,2,2,.750,5.3,1.3,4.0,,,,,4,
1921,26,CRD,APFA,8,3,3,2,.500,-2.4,-3.2,0.7,,,,,8,
1922,27,CRD,NFL,11,8,3,0,.727,-0.9,-1.7,0.9,,,,,3,
1956,61,CHI,NFL,12,9,2,1,.818,10.0,8.8,1.3,1,0,1,.000,1,
1957,62,CHI,NFL,12,5,7,0,.417,-0.6,-4.9,4.3,,,,,5,
