,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,298,5045,992,5.1,23,12,277,285,456,2914,16,11,5.8,153,487,2131,16,4.4,104,111,956,20,190,27.9,10.5,Own 27.7,2:38,5.35,26.5,1.53,219,80,36.5%,17,9,52.9%,42,27,64.3%
1,2021,419,5822,1133,5.1,25,11,362,359,535,3418,22,14,5.9,194,551,2404,23,4.4,134,103,973,34,185,38.9,13.0,Own 29.7,3:04,6.30,31.4,2.16,236,103,43.6%,24,15,62.5%,61,39,63.9%
2,2020,491,6343,1031,6.2,12,5,381,316,485,3653,33,7,7.2,203,521,2690,26,5.2,142,86,783,36,167,47.9,7.2,Own 28.7,2:45,6.34,37.7,2.87,182,84,46.2%,16,10,62.5%,64,48,75.0%
3,2019,402,5805,949,6.1,17,9,317,297,448,3582,29,8,7.1,177,445,2223,21,5.0,104,99,932,36,185,31.4,8.6,Own 27.5,2:28,5.23,31.4,2.02,185,70,37.8%,14,4,28.6%,45,34,75.6%
4,2018,310,5002,940,5.3,18,6,289,293,437,2975,16,12,6.1,156,456,2027,15,4.4,106,82,727,27,166,34.9,10.2,Own 27.8,2:52,5.86,30.0,1.82,205,82,40.0%,12,7,58.3%,47,25,53.2%
5,2017,334,5024,974,5.2,25,8,290,306,496,3191,14,17,6.0,157,443,1833,18,4.1,97,85,785,36,191,35.1,12.6,Own 28.7,2:32,5.32,26.3,1.72,202,71,35.1,10,5,50.0,40,21,52.5
6,2016,381,5728,1008,5.7,18,7,322,307,504,3541,29,11,6.7,175,476,2187,16,4.6,115,110,1012,32,184,36.4,9.8,Own 28.2,2:39,5.63,31.0,2.07,217,100,46.1%,11,4,36.4%,50,36,72.0%
7,2015,299,4988,976,5.1,33,16,298,342,551,3503,25,17,5.8,195,371,1485,10,4.0,66,93,779,37,191,25.7,16.2,Own 27.0,2:29,5.19,26.1,1.50,201,64,31.8%,15,7,46.7%,40,26,65.0%
8,2014,254,4859,919,5.3,26,10,258,299,513,3412,20,16,6.1,159,356,1447,6,4.1,75,111,961,24,191,23.6,12.6,Own 25.8,2:18,4.93,25.3,1.25,196,59,30.1%,17,6,35.3%,39,19,48.7%
9,2013,362,5390,1032,5.2,25,9,311,328,533,3496,22,16,6.1,172,462,1894,16,4.1,103,101,900,36,184,34.2,11.4,Own 27.9,2:38,5.77,29.1,1.85,227,94,41.4%,17,11,64.7%,49,28,57.1%
10,2012,330,5010,957,5.2,28,12,260,318,540,3323,17,16,5.7,166,378,1687,10,4.5,70,106,847,24,188,27.7,14.9,Own 25.4,2:21,5.26,26.6,1.40,217,83,38.2%,15,5,33.3%,36,18,50.0%
11,2011,325,5361,984,5.4,22,8,281,353,584,3923,22,14,6.5,185,376,1438,8,3.8,71,104,960,25,188,31.4,11.7,Own 27.4,2:22,5.40,28.5,1.58,218,80,36.7%,14,10,71.4%,37,22,59.5%
12,2010,356,4834,907,5.3,29,14,252,273,474,3107,24,15,6.2,155,406,1727,13,4.3,73,128,1040,24,184,33.2,14.7,Own 31.5,2:16,5.07,26.0,1.80,204,71,34.8%,14,8,57.1%,43,25,58.1%
13,2009,354,5623,990,5.7,31,16,288,271,476,3031,16,15,6.2,154,499,2592,19,5.2,115,98,821,19,187,33.2,15.0,Own 27.1,2:27,5.47,29.9,1.74,214,89,41.6%,22,12,54.5%,39,22,56.4%
14,2008,375,5018,973,5.2,17,8,268,265,453,2819,13,9,6.1,143,508,2199,24,4.3,108,108,855,17,191,34.6,8.9,Own 32.4,2:27,5.27,26.1,1.81,216,78,36.1%,11,5,45.5%,45,28,62.2%
15,2007,301,4987,1037,4.8,34,17,306,288,464,2878,9,17,5.8,171,543,2109,17,3.9,118,101,773,17,189,32.3,16.9,Own 32.5,2:42,5.69,26.3,1.52,217,89,41.0%,11,2,18.2%,55,20,36.4%
16,2006,324,4810,945,5.1,26,7,261,226,447,2596,13,19,5.5,133,469,2214,15,4.7,105,94,803,23,187,26.7,13.9,Own 30.0,2:21,5.20,25.6,1.40,205,67,32.7%,17,7,41.2%,38,17,44.7%
17,2005,299,5122,1022,5.0,26,12,279,358,594,3597,20,14,5.8,191,397,1525,8,3.8,72,125,1002,16,193,26.4,13.5,Own 32.4,2:35,5.44,26.5,1.37,218,75,34.4%,31,9,29.0%,46,22,47.8%
18,2004,344,5487,1053,5.2,31,12,308,356,589,3616,27,19,5.7,200,420,1871,12,4.5,85,110,923,23,200,29.0,15.0,Own 30.0,2:32,5.40,27.4,1.65,217,74,34.1%,27,12,44.4%,45,25,55.6%
19,2003,435,5501,1013,5.4,21,12,310,315,502,3878,30,9,7.4,211,486,1623,11,3.3,84,110,887,15,188,39.4,9.6,Own 34.1,2:48,5.59,29.4,2.07,211,86,40.8%,14,6,42.9%,60,32,53.3%
20,2002,367,5272,1032,5.1,25,10,312,306,500,3320,22,15,6.4,182,511,1952,16,3.8,112,112,891,18,182,34.6,13.2,Own 32.2,2:55,5.85,28.8,1.87,216,94,43.5%,16,9,56.3%,56,33,58.9%
21,2001,336,5352,1026,5.2,28,11,288,307,515,3558,23,17,6.4,179,468,1794,12,3.8,87,119,1025,22,195,28.2,13.3,Own 29.4,2:35,5.41,27.4,1.56,233,98,42.1%,15,2,13.3%,38,20,52.6%
22,2000,346,5350,1036,5.2,30,14,299,286,462,3266,18,16,6.7,167,547,2084,14,3.8,107,107,870,25,194,30.4,14.9,Own 33.7,2:48,5.52,27.4,1.57,228,97,42.5%,11,4,36.4%,55,26,47.3%
23,1999,392,5296,1011,5.2,22,9,294,304,527,3485,23,13,6.3,167,459,1811,19,3.9,109,114,1069,18,201,31.3,10.9,Own 32.4,2:30,5.15,26.2,1.78,217,83,38.2%,12,7,58.3%,50,31,62.0%
24,1998,330,5261,1016,5.2,19,9,308,305,519,3291,16,10,5.9,171,462,1970,12,4.3,118,126,1135,19,,,,,,,,,,,,,,,,,
25,1997,333,4919,993,5.0,26,13,288,220,420,2505,15,13,5.5,136,541,2414,17,4.5,130,103,814,22,,,,,,,,,,,,,,,,,
