,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,359,5978,1100,5.4,20,6,339,439,671,4671,29,14,6.6,215,390,1307,9,3.4,93,115,836,31,189,33.9,10.6,Own 27.7,2:47,6.0,31.5,1.84,225,77,34.2%,26,19,73.1%,49,27,55.1%
1,2021,354,5607,1039,5.4,22,6,331,395,628,4169,24,16,6.2,204,368,1438,14,3.9,90,118,1070,37,186,37.1,10.8,Own 29.6,2:33,5.8,30.1,1.93,210,77,36.7%,24,14,58.3%,58,30,51.7%
2,2020,439,6372,1076,5.9,23,8,391,423,630,4439,36,15,6.8,247,427,1933,18,4.5,113,103,840,31,166,45.2,13.3,Own 27.7,3:04,6.6,38.2,2.66,214,111,51.9%,26,15,57.7%,65,45,69.2%
3,2019,331,5752,1056,5.4,23,9,335,386,598,4080,25,14,6.4,213,415,1672,14,4.0,95,125,1025,27,189,31.7,11.6,Own 28.0,2:40,5.7,30.4,1.78,204,74,36.3%,25,10,40.0%,47,32,68.1%
4,2018,303,5334,1001,5.3,17,6,298,337,533,3471,21,11,6.1,182,429,1863,9,4.3,98,120,984,18,172,33.1,9.9,Own 28.9,2:52,6.0,30.9,1.72,205,75,36.6%,20,11,55.0%,47,21,44.7%
5,2017,356,5248,1046,5.0,21,9,323,369,605,3828,27,12,5.9,231,398,1420,5,3.6,68,119,942,24,185,37.3,10.8,Own 28.7,2:38,5.9,28.3,1.81,214,78,36.4,16,10,62.5,56,27,48.2
6,2016,378,5720,1031,5.5,18,6,324,388,635,4307,25,12,6.4,227,356,1413,10,4.0,70,137,1191,27,177,35.0,9.0,Own 26.7,2:40,6.0,32.2,1.84,210,77,36.7%,22,12,54.5%,55,29,52.7%
7,2015,423,5475,1004,5.5,19,8,317,319,503,3678,34,11,6.8,192,462,1797,11,3.9,101,112,982,24,186,36.6,8.1,Own 28.8,2:39,5.5,29.3,2.06,216,92,42.6%,12,4,33.3%,53,33,62.3%
8,2014,438,5968,1099,5.4,16,4,357,347,545,3773,28,12,6.5,211,515,2195,17,4.3,119,93,731,27,191,40.8,8.4,Own 29.9,2:43,6.0,31.2,2.17,227,94,41.4%,11,5,45.5%,63,37,58.7%
9,2013,381,5407,1027,5.3,25,12,329,344,545,3612,15,13,6.2,191,446,1795,21,4.0,108,95,779,30,190,35.8,13.2,Own 28.7,2:33,5.6,28.3,1.83,201,69,34.3%,11,7,63.6%,50,32,64.0%
10,2012,471,5999,1086,5.5,24,5,358,374,564,3964,31,19,6.6,210,483,2035,16,4.2,122,86,717,26,191,39.8,12.6,Own 30.3,2:47,5.8,31.4,2.18,214,85,39.7%,14,6,42.9%,58,37,63.8%
11,2011,317,5682,1080,5.3,23,12,324,369,591,3629,21,11,5.9,187,461,2053,10,4.5,111,99,812,26,187,31.0,12.3,Own 25.7,2:45,5.9,30.3,1.59,236,96,40.7%,20,8,40.0%,48,23,47.9%
12,2010,339,5883,1139,5.2,25,8,356,410,625,4032,23,17,6.1,214,474,1851,7,3.9,107,114,1039,35,183,37.7,13.1,Own 29.0,3:00,6.5,32.1,1.79,242,104,43.0%,22,9,40.9%,63,26,41.3%
13,2009,402,5850,1038,5.6,27,7,323,404,604,4139,31,20,6.5,210,402,1711,16,4.3,89,94,724,24,190,36.3,13.7,Own 32.3,2:41,5.6,30.8,2.08,218,89,40.8%,17,12,70.6%,56,33,58.9%
14,2008,234,4698,1022,4.6,31,11,276,342,575,3196,12,20,5.2,166,403,1502,12,3.7,81,93,750,29,194,23.2,15.5,Own 29.2,2:34,5.4,24.2,1.21,226,79,35.0%,18,8,44.4%,43,20,46.5%
15,2007,297,4665,978,4.8,34,12,268,349,569,3187,21,22,5.2,165,369,1478,11,4.0,80,90,745,23,183,27.3,15.8,Own 28.5,2:30,5.5,25.4,1.52,230,97,42.2%,16,8,50.0%,40,24,60.0%
16,2006,400,5915,1062,5.6,28,11,329,335,530,3602,24,17,6.5,181,506,2313,20,4.6,121,102,906,27,189,37.6,13.2,Own 30.7,2:47,5.8,31.1,2.06,221,90,40.7%,17,10,58.8%,62,36,58.1%
17,2005,421,5110,960,5.3,20,11,294,296,470,3216,33,9,6.3,180,449,1894,12,4.2,89,95,718,25,195,33.8,9.7,Own 29.2,2:22,5.1,26.0,1.94,200,71,35.5%,11,7,63.6%,56,34,60.7%
18,2004,439,5724,977,5.9,30,12,318,333,524,3807,29,18,6.8,189,421,1917,18,4.6,99,95,774,30,192,36.5,14.6,Own 31.3,2:22,5.2,29.7,2.07,186,62,33.3%,12,9,75.0%,54,31,57.4%
19,2003,324,4901,926,5.3,34,13,275,332,546,3606,20,21,6.2,167,342,1295,10,3.8,79,96,793,29,188,29.8,16.0,Own 29.2,2:19,5.1,26.0,1.53,184,51,27.7%,18,11,61.1%,41,18,43.9%
20,2002,324,4964,974,5.1,29,11,297,339,562,3540,27,18,5.9,197,372,1424,7,3.8,75,99,853,25,177,27.1,14.7,Own 28.1,2:29,5.6,28.0,1.58,202,76,37.6%,18,9,50.0%,45,28,62.2%
21,2001,388,5515,996,5.5,24,11,300,328,559,4084,27,13,6.9,192,405,1431,17,3.5,79,88,832,29,194,34.0,11.3,Own 31.6,2:21,5.3,28.3,1.93,212,74,34.9%,14,7,50.0%,56,27,48.2%
22,2000,191,3813,908,4.2,30,13,215,242,466,2423,10,17,4.7,134,387,1390,7,3.6,62,97,778,19,188,18.1,13.8,Own 29.0,2:14,4.9,20.1,0.90,221,68,30.8%,12,1,8.3%,30,14,46.7%
