,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1967,45,NOR,NFL,14,3,11,0,.214,-10.8,-6.7,-4.1,,,,,4,
1,1968,46,NOR,NFL,14,4,9,1,.308,-6.5,-3.9,-2.6,,,,,3,
2,1969,47,NOR,NFL,14,5,9,0,.357,-7.3,0.1,-7.4,,,,,3,
3,1970,48,NOR,NFL,7,1,5,1,.167,-7.9,-4.6,-3.3,,,,,4,
