,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1966,ATL,OC,15,14,12,14,15,14,15,13,11,11,11,10,10,12,12,10,12,13,15,14,10,13,15,14,15,10,5,15,13,10,14
1,1967,NOR,HC,16,15,10,15,15,12,14,8,15,16,15,15,8,2,9,13,8,12,13,13,12,13,14,16,16,13,10,12,11,8,13
2,1968,NOR,HC,16,13,8,11,12,12,12,14,12,13,12,14,1,2,8,10,15,14,9,11,3,9,13,9,16,1,9,6,13,12,8
3,1969,NOR,HC,16,11,12,13,12,3,6,8,10,7,8,4,5,3,3,6,9,5,15,15,16,7,9,11,13,13,6,14,15,16,16
4,1970,NOR,HC,26,25,14,25,25,21,25,21,23,24,24,22,25,6,10,23,15,15,26,24,7,20,20,20,17,5,25,26,18,10,25
5,1971,PHI,OC,26,13,5,20,23,20,22,11,21,25,24,25,11,8,8,17,12,13,26,20,2,13,17,20,20,1,22,25,15,11,17
6,1972,PHI,OC,26,24,22,24,23,24,26,21,22,24,26,25,20,10,17,21,14,21,24,22,19,23,23,23,16,25,6,23,23,12,25
