Year,Age,Level,Employer,Role
2014,36,High School,Long Beach Poly HS (CA),Head Coach
2015,37,High School,Long Beach Poly HS (CA),Head Coach
2016,38,High School,Long Beach Poly HS (CA),Head Coach
2017,39,High School,Long Beach Poly HS (CA),Head Coach
2018,40,College (FBS),Arizona State,Linebackers/Recruiting Coordinator
2019,41,College (FBS),Arizona State,Linebackers/Recruiting Coordinator
2020,42,College (FBS),Arizona State,Defensive Coordinator/Associate HC/Linebackers/Recruiting Coordinator
2021,43,College (FBS),Arizona State,Defensive Coordinator/Associate HC/Recruiting Coordinator
2022,44,NFL,Las Vegas Raiders,Linebackers
2023,45,NFL,Las Vegas Raiders,Interim Head Coach/Linebackers
2024,46,NFL,Las Vegas Raiders,Head Coach
