,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1966,CHI,DC,15,10,6,12,9,12,13,5,5,4,8,4,3,14,15,14,10,12,6,7,7,11,4,8,4,1,7,5,2,14,7
1,1967,CHI,DC,16,6,3,6,10,15,13,5,2,7,12,12,8,16,16,16,4,13,2,4,3,8,6,4,5,3,5,4,4,4,2
2,1968,CHI,HC,16,8,12,12,11,9,10,10,2,1,6,1,13,13,16,15,10,16,11,12,12,7,7,12,8,10,4,13,13,9,15
3,1969,CHI,HC,16,15,14,15,11,15,16,11,4,2,6,2,13,10,16,16,10,16,5,12,11,10,10,13,12,10,1,4,11,11,11
4,1970,CHI,HC,26,15,18,15,24,25,16,15,25,25,26,26,7,3,15,6,15,22,18,10,17,16,8,14,3,17,20,23,16,19,22
5,1971,CHI,HC,26,14,16,24,25,24,25,23,24,23,24,15,17,3,22,19,23,26,23,12,3,25,20,15,16,4,17,23,8,11,19
