Year,Age,Level,Employer,Role
1962,32,NFL,Chicago Bears,Defensive Assistant
1963,33,NFL,Chicago Bears,Receivers
1964,34,NFL,Chicago Bears,Receivers
1965,35,NFL,Chicago Bears,Receivers
1966,36,NFL,Chicago Bears,Defensive Coordinator
1967,37,NFL,Chicago Bears,Defensive Coordinator
1968,38,NFL,Chicago Bears,Head Coach
1969,39,NFL,Chicago Bears,Head Coach
1970,40,NFL,Chicago Bears,Head Coach
1971,41,NFL,Chicago Bears,Head Coach
1972,42,NFL,Buffalo Bills,Linebackers
1981,51,NFL,Chicago Bears,Offensive Consultant
1982,52,NFL,Chicago Bears,Offensive Consultant
1983,53,NFL,Chicago Bears,Offensive Consultant
1984,54,NFL,Chicago Bears,Offensive Consultant
1985,55,NFL,Chicago Bears,Offensive Consultant
1986,56,NFL,Chicago Bears,Offensive Consultant
1987,57,NFL,Chicago Bears,Offensive Consultant
1988,58,NFL,Chicago Bears,Offensive Consultant
1989,59,NFL,Chicago Bears,Offensive Consultant
