Year,Age,Level,Employer,Role
1994,31,College,Western Kentucky,Assistant Coach
1995,32,College,Western Kentucky,Assistant Coach
1996,33,College,Western Kentucky,Assistant Coach
1997,34,College,Western Kentucky,Assistant Coach
1998,35,College,Western Kentucky,Assistant Coach
1999,36,College,Western Kentucky,Assistant Coach
2000,37,College,Western Kentucky,Assistant Coach
2001,38,College,Western Kentucky,Assistant Coach
2002,39,NFL,Oakland Raiders,Quarterbacks
2003,40,NFL,Oakland Raiders,Quarterbacks
2004,41,College,San Diego,Head Coach
2005,42,College,San Diego,Head Coach
2006,43,College,San Diego,Head Coach
2007,44,College,Stanford,Head Coach
2008,45,College,Stanford,Head Coach
2009,46,College,Stanford,Head Coach
2010,47,College,Stanford,Head Coach
2011,48,NFL,San Francisco 49ers,Head Coach
2012,49,NFL,San Francisco 49ers,Head Coach
2013,50,NFL,San Francisco 49ers,Head Coach
2014,51,NFL,San Francisco 49ers,Head Coach
2015,52,College,Michigan,Head Coach
2016,53,College,Michigan,Head Coach
2017,54,College,Michigan,Head Coach
2018,55,College,Michigan,Head Coach
2019,56,College,Michigan,Head Coach
2020,57,College,Michigan,Head Coach
2021,58,College,Michigan,Head Coach
2022,59,College,Michigan,Head Coach
2023,60,College,Michigan,Head Coach
2024,61,NFL,Los Angeles Chargers,Head Coach
2025,62,NFL,Los Angeles Chargers,Head Coach
