,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1960,36,Dallas Texans,AFL,14,8,6,0,.571,6.8,0.8,6.0,,,,,2,
1,1961,37,Dallas Texans,AFL,14,6,8,0,.429,-0.6,-0.6,0.0,,,,,2,
2,1962,38,Dallas Texans,AFL,14,11,3,0,.786,9.8,3.8,5.9,1,1,0,1.000,1,AFL Champions
3,1963,39,Kansas City Chiefs,AFL,14,5,7,2,.417,5.3,1.0,4.2,,,,,3,
4,1964,40,Kansas City Chiefs,AFL,14,7,7,0,.500,3.8,2.8,1.0,,,,,2,
5,1965,41,Kansas City Chiefs,AFL,14,7,5,2,.583,2.3,1.4,0.9,,,,,3,
6,1966,42,Kansas City Chiefs,AFL,14,11,2,1,.846,11.0,9.8,1.2,2,1,1,.500,1,AFL Champions
7,1967,43,Kansas City Chiefs,AFL,14,9,5,0,.643,10.3,6.0,4.2,,,,,2,
8,1968,44,Kansas City Chiefs,AFL,14,12,2,0,.857,14.0,3.8,10.1,1,0,1,.000,1,
9,1969,45,Kansas City Chiefs,AFL,14,11,3,0,.786,11.9,3.5,8.4,3,3,0,1.000,2,Super Bowl Champions
10,1970,46,Kansas City Chiefs,NFL,14,7,5,2,.583,1.5,-0.1,1.6,,,,,2,
11,1971,47,Kansas City Chiefs,NFL,14,10,3,1,.769,5.1,0.6,4.5,1,0,1,.000,1,
12,1972,48,Kansas City Chiefs,NFL,14,8,6,0,.571,2.6,0.4,2.2,,,,,2,
13,1973,49,Kansas City Chiefs,NFL,14,7,5,2,.571,1.0,-4.2,5.1,,,,,2,
14,1974,50,Kansas City Chiefs,NFL,14,5,9,0,.357,-2.4,-1.3,-1.1,,,,,3,
15,1976,52,New Orleans Saints,NFL,14,4,10,0,.286,-6.1,-0.6,-5.5,,,,,4,
16,1977,53,New Orleans Saints,NFL,14,3,11,0,.214,-9.2,0.3,-9.4,,,,,4,
