Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1997,SFO,OC,30,1,2,4,2,12,5,2,4,8,8,20,6,28,18,14,6,3,1,3,2,2,2,1,3,5,12,2,18,2,1
1998,SFO,OC,30,4,11,4,1,1,3,16,7,1,3,1,21,5,2,1,11,4,23,13,7,5,9,19,19,13,26,29,23,4,22
1999,SFO,OC,31,28,29,28,22,10,22,16,22,1,7,1,18,7,21,29,20,22,28,30,29,14,15,16,11,27,10,31,31,25,31
2000,SFO,OC,31,22,13,21,14,4,6,1,21,18,9,7,2,4,4,4,1,5,29,28,27,16,16,29,16,27,26,29,23,24,29
2001,DET,HC,31,30,30,29,27,16,26,27,31,28,26,17,23,1,6,17,29,25,26,30,29,22,23,22,20,31,12,25,29,17,24
2002,DET,HC,32,31,23,30,31,28,26,19,31,29,26,18,2,9,25,20,31,29,31,31,26,28,17,29,10,9,29,30,27,26,29
2006,PHI,OC,32,6,9,8,5,2,6,9,27,11,14,5,25,8,3,1,2,3,15,15,13,25,26,11,24,22,23,9,7,8,4
2007,PHI,OC,32,14,25,11,7,6,17,13,20,8,16,2,14,7,10,12,11,18,10,9,32,8,7,9,8,27,17,18,2,30,13
2008,PHI,OC,32,11,14,4,1,9,6,16,17,22,14,24,13,4,6,8,21,12,3,4,9,13,4,2,4,5,19,3,10,11,2
2009,PHI,OC,32,5,2,10,11,11,5,7,28,22,15,14,11,10,10,10,7,11,12,19,3,10,9,11,11,6,28,17,24,4,5
2010,PHI,OC,32,8,5,9,5,2,3,12,15,5,4,1,21,11,9,8,9,12,12,21,5,17,15,16,14,13,18,14,29,3,14
2011,PHI,OC,32,13,30,9,4,4,8,31,12,5,2,3,26,13,9,11,31,7,8,10,17,12,16,15,19,19,12,10,24,17,11
2012,PHI,OC,32,28,31,30,12,15,29,30,19,13,21,8,32,7,13,25,15,26,15,29,31,26,23,12,16,28,2,9,32,30,23
2013,NYJ,OC,32,14,30,26,21,25,29,22,5,6,18,10,5,29,31,32,28,26,11,19,31,9,3,6,1,32,22,22,19,22,18
2014,NYJ,OC,32,27,29,26,18,22,28,19,4,3,17,8,13,27,32,30,16,30,6,24,32,7,5,11,6,23,7,14,30,30,18
2016,BAL,OC,32,17,9,13,8,17,21,17,30,28,22,21,7,1,12,21,22,26,7,9,4,8,5,5,5,9,17,9,24,1,10
2017,BAL,OC,32,11,1,8,21,27,9,7,7,11,10,19,2,11,29,23,16,32,12,6,1,19,15,16,16,4,26,10,5,1,4
2018,BAL,OC,32,8,22,6,1,9,13,16,1,2,3,15,25,16,22,26,6,23,1,2,22,3,4,6,3,28,23,5,3,18,2
