Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
1981,37,DEN,NFL,16,10,6,0,.625,1.3,-1.6,2.9,,,,,2,,,
1982,38,DEN,NFL,9,2,7,0,.222,-9.7,-6.0,-3.8,,,,,5,,,
1983,39,DEN,NFL,16,9,7,0,.563,-2.8,-4.1,1.3,1,0,1,.000,3,,,
1984,40,DEN,NFL,16,13,3,0,.813,7.7,1.0,6.7,1,0,1,.000,1,,,
1985,41,DEN,NFL,16,11,5,0,.688,3.6,1.8,1.9,,,,,2,,,
1986,42,DEN,NFL,16,11,5,0,.688,5.2,3.4,1.8,3,2,1,.667,1,,,AFC Champions
1987,43,DEN,NFL,15,10,4,1,.700,4.1,3.2,0.9,3,2,1,.667,1,,,AFC Champions
1988,44,DEN,NFL,16,8,8,0,.500,-3.3,0.1,-3.4,,,,,2,,,
1989,45,DEN,NFL,16,11,5,0,.688,9.3,3.7,5.7,3,2,1,.667,1,,,AFC Champions
1990,46,DEN,NFL,16,5,11,0,.313,-0.8,2.1,-2.9,,,,,5,,,
1991,47,DEN,NFL,16,12,4,0,.750,3.4,0.3,3.1,2,1,1,.500,1,,,
1992,48,DEN,NFL,16,8,8,0,.500,-3.4,-1.4,-1.9,,,,,3,,,
1993,49,NYG,NFL,16,11,5,0,.688,4.6,-0.8,5.4,2,1,1,.500,2,,,
1994,50,NYG,NFL,16,9,7,0,.563,-1.7,-2.7,1.0,,,,,2,,,
1995,51,NYG,NFL,16,5,11,0,.313,-1.5,-2.6,1.1,,,,,4,,,
1996,52,NYG,NFL,16,6,10,0,.375,-4.1,-5.7,1.5,,,,,5,,,
1997,53,ATL,NFL,16,7,9,0,.438,-4.2,-1.2,-2.9,,,,,3,,,
1998,54,ATL,NFL,16,14,2,0,.875,10.0,7.0,3.0,3,2,1,.667,1,,,NFC Champions
1999,55,ATL,NFL,16,5,11,0,.313,-7.1,-4.0,-3.0,,,,,3,4,0,
2000,56,ATL,NFL,16,4,12,0,.250,-8.6,-5.7,-2.9,,,,,5,8,2,
2001,57,ATL,NFL,16,7,9,0,.438,-4.7,-2.7,-2.0,,,,,4,5,2,
2002,58,ATL,NFL,16,9,6,1,.594,5.1,3.5,1.5,2,1,1,.500,2,9,0,
2003,59,ATL,NFL,13,3,10,0,.231,-7.4,-2.0,-5.4,,,,,4,2,0,Fired after week 14
