,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1977,DAL,OC,28,1,6,2,1,1,2,1,8,4,1,5,8,10,4,6,1,5,1,8,19,4,3,7,8,25,19,2,12,11,1
1,1978,DAL,OC,28,2,11,1,1,2,1,7,5,3,3,3,15,8,3,3,4,4,2,3,23,1,1,8,5,26,14,5,4,11,2
2,1979,DAL,OC,28,3,25,5,2,2,5,6,8,10,18,11,24,8,4,2,1,4,8,12,28,4,11,10,20,28,6,3,15,28,8
3,1980,DAL,OC,28,1,6,2,10,9,1,17,3,6,1,9,12,24,14,3,17,7,17,13,2,6,18,14,26,3,13,16,12,5,16
4,1981,DEN,HC,28,6,8,15,7,14,17,11,15,21,20,23,14,16,8,4,11,10,6,9,7,5,13,17,22,3,11,5,3,11,5
5,1982,DEN,HC,28,25,28,26,24,15,20,28,20,17,17,9,28,6,15,23,28,18,24,25,22,18,7,12,2,22,24,26,21,14,25
6,1983,DEN,HC,28,7,8,19,24,26,21,18,20,23,17,22,15,15,20,20,11,22,21,9,7,14,10,12,9,6,25,23,4,5,18
7,1984,DEN,HC,28,3,2,5,24,22,11,9,10,10,19,12,20,24,23,10,7,18,25,2,2,4,5,2,10,2,28,27,5,2,14
8,1985,DEN,HC,28,4,7,8,9,10,8,4,12,16,4,24,1,2,6,8,16,19,13,13,16,15,14,5,16,25,23,14,16,6,9
9,1986,DEN,HC,28,5,9,9,10,15,6,5,20,20,9,20,8,8,10,9,6,13,9,15,17,4,5,12,13,12,22,16,11,18,11
10,1987,DEN,HC,28,5,4,5,5,2,4,16,7,12,3,20,14,2,3,9,15,4,9,7,3,11,20,20,26,8,6,5,3,2,9
11,1988,DEN,HC,28,16,21,15,12,8,15,15,19,19,18,17,4,4,6,7,21,12,22,20,24,26,27,25,28,18,4,7,10,19,12
12,1989,DEN,HC,28,3,3,2,7,15,8,9,3,6,10,18,5,22,23,12,15,16,3,1,2,6,6,7,7,2,11,3,1,9,3
13,1990,DEN,HC,28,23,24,19,16,8,16,13,12,14,4,13,10,9,7,21,13,16,20,23,25,17,17,20,19,13,13,21,19,26,23
14,1991,DEN,HC,28,3,6,7,8,12,12,6,4,8,7,13,7,24,17,20,4,15,5,3,11,9,19,5,27,24,8,3,1,4,4
15,1992,DEN,HC,28,15,25,19,24,21,22,27,21,25,13,21,14,17,16,16,28,18,22,19,18,24,23,9,15,7,10,18,21,21,18
16,1993,NYG,HC,28,4,3,6,7,10,18,1,1,1,12,14,2,27,22,17,2,7,5,1,17,2,7,5,19,23,15,10,3,12,10
17,1994,NYG,HC,28,9,8,16,24,28,22,8,3,10,11,25,1,27,27,24,16,22,11,8,10,15,15,11,20,4,6,8,5,18,18
18,1995,NYG,HC,30,26,9,23,26,29,24,10,8,13,6,17,21,29,30,28,7,27,17,16,14,27,27,26,25,11,4,4,7,17,15
19,1996,NYG,HC,30,23,14,20,29,30,28,23,7,21,30,29,14,29,30,25,23,30,14,10,8,22,16,20,7,14,14,15,5,7,16
20,1997,ATL,HC,30,17,11,19,23,23,18,13,18,19,26,21,16,24,22,5,6,15,20,21,15,4,8,27,19,25,8,20,22,8,26
21,1998,ATL,HC,30,2,1,3,7,7,4,8,4,6,6,11,9,30,11,6,11,2,8,4,1,2,2,2,2,1,23,21,15,10,19
22,1999,ATL,HC,31,26,31,26,28,27,23,23,28,30,20,29,24,25,17,11,20,14,16,25,31,28,29,29,27,30,2,9,11,26,27
23,2000,ATL,HC,31,27,23,27,29,30,27,23,29,28,29,27,20,18,24,25,24,28,25,26,20,21,27,24,24,22,10,24,17,21,30
24,2001,ATL,HC,31,16,13,26,28,15,23,13,16,16,23,16,10,23,17,15,15,12,30,24,14,5,21,20,30,14,13,30,28,13,31
25,2002,ATL,HC,32,10,5,4,16,14,5,11,2,4,4,9,22,25,23,24,7,10,19,8,2,17,23,6,28,8,8,16,18,3,17
26,2003,ATL,HC,32,23,14,28,31,29,20,20,19,14,7,8,10,28,31,28,26,30,32,30,11,27,29,30,27,3,13,32,30,14,31
