,Team Abreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,atl,396,5895.0,1078.0,5.5,18.0,7,366.0,408,628,4363,27,11,6.5,243.0,409,1532,13,3.7,86.0,83,736,37.0,174.0,44.8,10.3,28.1,2.8166666666666664,6.43,33.8,2.26,221.0,97.0,0.439,26.0,15.0,0.5770000000000001,58.0,31.0,0.534
1,buf,501,6343.0,1034.0,6.1,22.0,11,397.0,410,596,4620,40,11,7.4,240.0,411,1723,16,4.2,119.0,102,941,38.0,170.0,49.4,11.8,30.7,2.9833333333333334,6.28,37.3,2.8,187.0,93.0,0.49700000000000005,10.0,8.0,0.8,68.0,42.0,0.618
2,car,350,5592.0,993.0,5.6,21.0,5,335.0,373,550,3888,16,16,6.6,192.0,407,1704,19,4.2,110.0,95,752,33.0,159.0,40.3,13.2,28.5,3.1166666666666667,6.47,35.1,2.09,195.0,76.0,0.39,27.0,15.0,0.556,57.0,29.0,0.509
3,chi,372,5302.0,1043.0,5.1,22.0,6,335.0,402,614,3655,26,16,5.6,218.0,393,1647,12,4.2,93.0,88,777,24.0,175.0,38.9,12.0,30.5,2.783333333333333,6.14,30.3,2.03,205.0,71.0,0.34600000000000003,28.0,17.0,0.607,55.0,31.0,0.564
4,cin,311,5116.0,1040.0,4.9,24.0,13,318.0,372,581,3448,19,11,5.5,201.0,411,1668,13,4.1,92.0,83,675,25.0,179.0,33.0,12.8,28.0,2.783333333333333,6.0,28.4,1.7,213.0,77.0,0.36200000000000004,27.0,19.0,0.7040000000000001,48.0,24.0,0.5
5,cle,408,5913.0,1022.0,5.8,16.0,8,355.0,315,501,3539,27,8,6.7,195.0,495,2374,21,4.8,133.0,100,870,27.0,165.0,40.6,9.7,28.1,3.0,6.34,35.6,2.38,196.0,88.0,0.449,24.0,8.0,0.33299999999999996,53.0,39.0,0.736
6,clt,451,6049.0,1032.0,5.9,15.0,4,364.0,371,552,4053,24,11,7.1,201.0,459,1996,20,4.3,129.0,94,899,34.0,171.0,44.4,8.8,30.2,2.9166666666666665,6.25,35.4,2.36,197.0,78.0,0.396,26.0,16.0,0.615,60.0,35.0,0.583
7,crd,410,6153.0,1083.0,5.7,21.0,8,381.0,387,575,3916,27,13,6.5,211.0,479,2237,22,4.7,136.0,113,868,34.0,179.0,40.2,11.7,29.1,2.6,6.22,34.4,2.3,202.0,80.0,0.396,25.0,17.0,0.68,58.0,38.0,0.655
8,dal,395,5949.0,1113.0,5.3,26.0,13,371.0,413,639,4161,25,13,6.1,231.0,430,1788,14,4.2,115.0,96,849,25.0,180.0,40.6,14.4,28.5,2.5166666666666666,6.41,32.9,2.08,215.0,87.0,0.405,31.0,17.0,0.5479999999999999,54.0,27.0,0.5
9,den,323,5369.0,1030.0,5.2,32.0,9,308.0,317,556,3451,21,23,5.9,176.0,442,1918,13,4.3,94.0,81,670,38.0,188.0,33.0,17.0,26.9,2.466666666666667,5.66,28.4,1.71,212.0,82.0,0.387,15.0,4.0,0.267,45.0,24.0,0.5329999999999999
10,det,377,5603.0,991.0,5.7,21.0,8,350.0,374,582,4104,27,13,6.6,220.0,367,1499,17,4.1,93.0,95,860,37.0,169.0,38.5,11.2,28.3,2.6333333333333333,6.0,33.0,2.2,192.0,79.0,0.41100000000000003,20.0,10.0,0.5,53.0,35.0,0.66
11,gnb,509,6224.0,990.0,6.3,11.0,6,358.0,372,526,4106,48,5,7.5,216.0,443,2118,16,4.8,114.0,84,684,28.0,161.0,49.7,5.6,28.8,3.2333333333333334,6.25,38.6,3.08,180.0,89.0,0.494,21.0,13.0,0.619,60.0,48.0,0.8
12,htx,384,6004.0,940.0,6.4,18.0,11,326.0,383,546,4538,33,7,7.6,222.0,344,1466,10,4.3,83.0,80,619,21.0,163.0,42.9,9.8,26.7,2.6833333333333336,5.96,36.8,2.34,193.0,83.0,0.43,16.0,9.0,0.563,50.0,27.0,0.54
13,jax,306,5218.0,997.0,5.2,25.0,9,310.0,387,616,3699,25,16,5.6,205.0,337,1519,9,4.5,80.0,107,1071,25.0,171.0,30.4,14.0,26.5,2.6,5.98,30.5,1.71,207.0,84.0,0.406,26.0,7.0,0.26899999999999996,45.0,27.0,0.6
14,kan,473,6653.0,1057.0,6.3,16.0,9,397.0,420,630,4854,40,7,7.4,255.0,403,1799,13,4.5,110.0,105,919,32.0,163.0,47.9,9.2,28.2,3.0,6.65,40.7,2.74,194.0,95.0,0.49,16.0,9.0,0.563,59.0,36.0,0.61
15,mia,404,5424.0,1021.0,5.3,20.0,7,345.0,370,559,3736,24,13,6.3,207.0,428,1688,15,3.9,100.0,74,635,38.0,181.0,41.4,11.0,29.7,2.7666666666666666,5.86,30.0,2.1,202.0,78.0,0.386,10.0,8.0,0.8,60.0,35.0,0.583
16,min,430,6292.0,1023.0,6.2,23.0,10,383.0,349,516,4009,35,13,7.2,212.0,468,2283,20,4.9,139.0,82,650,32.0,176.0,39.8,12.5,26.2,2.7333333333333334,5.94,35.7,2.44,181.0,74.0,0.409,23.0,13.0,0.565,59.0,42.0,0.7120000000000001
17,nor,482,6023.0,1045.0,5.8,17.0,9,367.0,370,522,3758,28,8,6.8,199.0,494,2265,30,4.6,147.0,98,1005,21.0,178.0,45.5,9.0,32.0,2.9,6.03,33.9,2.67,208.0,93.0,0.447,16.0,11.0,0.688,68.0,49.0,0.721
18,nwe,326,5236.0,979.0,5.3,19.0,5,332.0,283,440,2890,12,14,6.1,157.0,502,2346,20,4.7,143.0,62,534,32.0,157.0,36.9,12.1,28.5,2.95,6.41,33.1,1.92,186.0,76.0,0.409,17.0,9.0,0.529,48.0,26.0,0.542
19,nyg,280,4794.0,966.0,5.0,22.0,11,297.0,321,517,3026,12,11,5.3,178.0,399,1768,13,4.4,91.0,81,634,28.0,167.0,33.5,12.6,29.2,2.75,5.98,28.7,1.6,198.0,72.0,0.364,22.0,14.0,0.636,41.0,19.0,0.46299999999999997
20,nyj,243,4479.0,948.0,4.7,19.0,5,269.0,292,499,2796,16,14,5.2,146.0,406,1683,9,4.1,94.0,101,952,29.0,175.0,26.3,10.9,26.4,2.55,5.58,25.6,1.36,206.0,70.0,0.34,18.0,7.0,0.389,38.0,16.0,0.42100000000000004
21,oti,491,6343.0,1031.0,6.2,12.0,5,381.0,316,485,3653,33,7,7.2,203.0,521,2690,26,5.2,142.0,86,783,36.0,167.0,47.9,7.2,28.7,2.75,6.34,37.7,2.87,182.0,84.0,0.462,16.0,10.0,0.625,64.0,48.0,0.75
22,phi,334,5354.0,1066.0,5.0,29.0,9,336.0,334,598,3327,22,20,5.0,177.0,403,2027,16,5.0,114.0,107,853,45.0,190.0,27.9,15.3,27.2,2.466666666666667,5.71,28.1,1.66,220.0,82.0,0.373,35.0,15.0,0.429,46.0,28.0,0.609
23,pit,416,5354.0,1043.0,5.1,18.0,7,322.0,428,656,4003,35,11,6.0,206.0,373,1351,12,3.6,81.0,81,691,35.0,188.0,37.2,8.5,30.8,2.6166666666666667,5.68,28.4,2.12,230.0,97.0,0.42200000000000004,19.0,10.0,0.526,52.0,33.0,0.635
24,rai,434,6133.0,1036.0,5.9,26.0,16,359.0,369,551,4217,28,10,7.3,206.0,457,1916,20,4.2,121.0,98,856,32.0,169.0,47.9,14.8,29.5,2.9333333333333336,6.34,36.2,2.57,198.0,91.0,0.46,21.0,16.0,0.762,59.0,32.0,0.542
25,ram,372,6032.0,1088.0,5.5,25.0,11,352.0,392,590,4014,20,14,6.5,206.0,473,2018,19,4.3,123.0,71,655,23.0,184.0,34.2,12.5,27.9,2.783333333333333,6.08,32.7,1.88,226.0,98.0,0.434,17.0,8.0,0.47100000000000003,57.0,33.0,0.579
26,rav,468,5810.0,993.0,5.9,18.0,7,327.0,257,406,2739,27,11,6.3,142.0,555,3071,24,5.5,166.0,104,961,19.0,170.0,45.3,10.6,31.9,2.966666666666667,6.01,34.1,2.56,207.0,101.0,0.488,19.0,12.0,0.632,60.0,38.0,0.633
27,sdg,384,6113.0,1127.0,5.4,16.0,6,373.0,413,627,4329,31,10,6.5,226.0,466,1784,12,3.8,111.0,85,710,36.0,175.0,38.3,8.6,26.6,2.9166666666666665,6.63,34.8,2.13,224.0,99.0,0.442,25.0,12.0,0.48,56.0,32.0,0.5710000000000001
28,sea,459,5912.0,1022.0,5.8,18.0,5,356.0,388,563,3941,40,13,6.5,216.0,411,1971,15,4.8,111.0,84,662,29.0,178.0,44.4,10.1,31.1,2.7,5.88,33.1,2.57,189.0,76.0,0.402,14.0,8.0,0.5710000000000001,56.0,41.0,0.732
29,sfo,376,5922.0,1046.0,5.7,31.0,14,350.0,371,570,4033,25,17,6.6,217.0,437,1889,19,4.3,101.0,85,731,32.0,182.0,36.3,14.8,27.4,2.7666666666666666,5.89,32.6,2.05,197.0,77.0,0.391,15.0,6.0,0.4,55.0,37.0,0.6729999999999999
30,tam,492,6145.0,1017.0,6.0,17.0,5,364.0,410,626,4626,42,12,7.1,238.0,369,1519,16,4.1,82.0,84,715,44.0,180.0,47.8,8.9,31.0,2.5666666666666664,5.82,34.1,2.72,191.0,83.0,0.435,14.0,8.0,0.5710000000000001,61.0,42.0,0.6890000000000001
31,was,335,5076.0,1051.0,4.8,27.0,11,322.0,389,601,3465,16,16,5.3,184.0,400,1611,18,4.0,108.0,87,697,30.0,183.0,33.3,13.1,28.4,2.6166666666666667,5.93,27.7,1.74,225.0,88.0,0.391,19.0,11.0,0.579,47.0,27.0,0.574
