,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2005,51,St. Louis Rams,NFL,11,4,7,0,.364,-5.1,1.3,-6.4,,,,,2,5,2,Coach starting week 6
1,2012,58,New Orleans Saints,NFL,10,5,5,0,.500,1.4,6.5,-5.1,,,,,3,5,1,co-coach with Aaron Kromer
