Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2006,DET,HC,32,31,29,27,24,22,21,30,32,32,23,27,30,2,7,13,27,18,28,30,10,26,21,27,15,3,14,25,20,25,29
2007,DET,HC,32,18,17,24,29,19,16,27,32,31,13,19,23,4,9,17,30,17,32,32,3,18,23,31,23,2,30,31,31,14,25
2008,DET,HC,32,32,28,32,32,30,27,23,31,30,25,28,13,18,24,19,26,27,32,32,26,30,32,32,32,2,1,27,27,32,32
2010,CHI,DC,32,5,11,10,22,30,21,21,21,22,21,23,13,32,28,20,25,25,9,4,3,4,2,20,6,5,27,20,2,5,8
2011,CHI,DC,32,13,11,16,26,24,17,23,9,9,21,10,16,27,26,24,25,23,17,14,5,6,5,6,10,7,31,28,13,6,13
2012,CHI,DC,32,9,2,6,16,28,16,14,10,10,18,14,9,27,29,22,18,27,5,3,1,4,8,3,14,2,25,8,7,1,4
2014,DAL,DC,32,1,9,5,7,7,5,20,3,2,5,3,29,31,16,4,7,3,19,15,2,6,8,31,17,5,18,26,6,7,27
2015,DAL,DC,32,29,32,29,20,22,31,31,18,9,21,5,22,23,27,29,31,20,17,16,32,26,22,28,19,30,2,5,3,30,24
2016,DAL,DC,32,2,9,3,6,5,5,5,1,2,2,3,13,30,23,14,3,5,14,5,19,1,1,3,11,8,30,26,17,27,14
2017,DAL,DC,32,11,16,15,11,14,14,14,5,2,2,3,18,29,26,18,16,18,8,13,16,8,8,3,18,7,22,11,26,24,8
2018,DAL,DC,32,8,12,14,15,22,22,5,10,10,16,14,15,21,23,22,5,22,7,6,16,12,5,10,5,7,14,13,8,26,15
2019,DAL,DC,32,14,18,6,2,1,6,9,8,5,7,5,5,10,2,5,14,1,9,11,25,13,11,17,8,10,20,10,8,30,8
2020,LVR,DC,32,14,30,21,17,8,10,27,11,14,6,19,32,21,7,11,7,5,25,30,30,22,24,30,24,29,24,26,16,23,27
