,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2006,57,DET,NFL,16,3,13,0,.188,-6.4,-1.8,-4.6,,,,,4,9,3,
1,2007,58,DET,NFL,16,7,9,0,.438,-3.6,1.4,-5.0,,,,,3,13,3,
2,2008,59,DET,NFL,16,0,16,0,.000,-13.1,-4.0,-9.1,,,,,4,10,4,
