Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2019,DAL,OC,32,14,18,6,2,1,6,9,8,5,7,5,5,10,2,5,14,1,9,11,25,13,11,17,8,10,20,10,8,30,8
2020,DAL,OC,32,21,21,25,21,14,17,27,15,17,21,23,29,2,8,19,17,22,23,28,7,31,31,25,30,2,2,11,27,23,21
2021,DAL,OC,32,3,1,2,4,1,1,10,12,9,17,8,17,6,2,3,7,4,19,7,1,11,16,7,23,11,25,20,7,1,18
2022,DAL,OC,32,7,2,5,8,11,4,17,6,9,2,18,2,19,14,9,30,9,12,5,1,27,22,3,17,1,11,8,14,7,8
2023,LAC,OC,32,28,16,23,24,18,21,16,24,25,20,27,27,3,13,16,2,19,28,24,21,18,17,26,13,5,23,30,24,25,28
2024,PHI,OC,32,3,6,2,2,8,7,6,1,2,2,5,17,32,29,12,3,12,1,2,6,7,10,2,9,4,12,1,6,12,1
