,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1922,29,RAC,NFL,11,6,4,1,.600,-4.7,-2.6,-2.1,,,,,6,
1,1923,30,RAC,NFL,10,4,4,2,.500,0.8,1.9,-1.1,,,,,10,
2,1924,31,RAC,NFL,10,4,3,3,.571,8.0,0.8,7.2,,,,,7,
