Year,Age,Level,Employer,Role
1965,24,College,Oregon State,Defensive Line
1966,25,College,Oregon State,Defensive Line
1967,26,College,Oregon State,Defensive Line
1968,27,College,Oregon State,Defensive Line
1969,28,College,Oregon State,Defensive Line
1970,29,College,UCLA,Linebackers
1971,30,NFL,Los Angeles Rams,Special Teams
1972,31,NFL,Los Angeles Rams,Special Teams
1973,32,College,Oregon State,Defensive Coordinator
1974,33,NFL,San Francisco 49ers,Defensive Backs
1975,34,NFL,San Francisco 49ers,Defensive Backs
1976,35,College,UCLA,Linebackers/ST
1977,36,College,Oregon,Head Coach
1978,37,College,Oregon,Head Coach
1979,38,College,Oregon,Head Coach
1980,39,College,Oregon,Head Coach
1981,40,College,Oregon,Head Coach
1982,41,College,Oregon,Head Coach
1983,42,College,Oregon,Head Coach
1984,43,College,Oregon,Head Coach
1985,44,College,Oregon,Head Coach
1986,45,College,Oregon,Head Coach
1987,46,College,Oregon,Head Coach
1988,47,College,Oregon,Head Coach
1989,48,College,Oregon,Head Coach
1990,49,College,Oregon,Head Coach
1991,50,College,Oregon,Head Coach
1992,51,College,Oregon,Head Coach
1993,52,College,Oregon,Head Coach
1994,53,College,Oregon,Head Coach
1995,54,NFL,St. Louis Rams,Head Coach
1996,55,NFL,St. Louis Rams,Head Coach
1997,56,NFL,Atlanta Falcons,Defensive Coordinator
1998,57,NFL,Atlanta Falcons,Defensive Coordinator
1999,58,NFL,Atlanta Falcons,Defensive Coordinator
2000,59,NFL,Atlanta Falcons,Defensive Coordinator
2003,62,College,Kentucky,Head Coach
2004,63,College,Kentucky,Head Coach
2005,64,College,Kentucky,Head Coach
2006,65,College,Kentucky,Head Coach
2007,66,College,Kentucky,Head Coach
2008,67,College,Kentucky,Head Coach
2009,68,College,Kentucky,Head Coach
