Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1948,46,NYY,AAFC,10,5,5,0,.500,-2.3,-4.2,1.9,,,,,3,
1949,47,NYY,AAFC,12,8,4,0,.667,-0.7,-5.8,5.1,1,0,1,.000,3,
1950,48,NYY,NFL,12,7,5,0,.583,-3.6,5.4,-8.9,,,,,3,
1955,53,SFO,NFL,12,4,8,0,.333,-8.2,-3.8,-4.4,,,,,5,
