Year,Age,Level,Employer,Role
1969,22,College,Montana State,Graduate Assistant
1971,24,College,Montana State,Running Backs
1972,25,College,Montana State,Running Backs
1973,26,College,Montana State,Running Backs
1974,27,College,Idaho,Offensive Coordinator
1975,28,College,Idaho,Offensive Coordinator
1976,29,College,Fresno State,Offensive Coordinator
1977,30,College,Fresno State,Offensive Coordinator
1978,31,College,Fresno State,Offensive Coordinator
1979,32,College,San Jose State,Offensive Coordinator
1980,33,College,San Jose State,Offensive Coordinator
1981,34,College,San Jose State,Offensive Coordinator
1982,35,College,Idaho,Head Coach
1983,36,College,Idaho,Head Coach
1984,37,College,Idaho,Head Coach
1985,38,College,Idaho,Head Coach
1986,39,College,Wyoming,Head Coach
1987,40,College,Washington State,Head Coach
1988,41,College,Washington State,Head Coach
1989,42,College,Miami (FL),Head Coach
1990,43,College,Miami (FL),Head Coach
1991,44,College,Miami (FL),Head Coach
1992,45,College,Miami (FL),Head Coach
1993,46,College,Miami (FL),Head Coach
1994,47,College,Miami (FL),Head Coach
1995,48,NFL,Seattle Seahawks,Head Coach
1996,49,NFL,Seattle Seahawks,Head Coach
1997,50,NFL,Seattle Seahawks,Head Coach
1998,51,NFL,Seattle Seahawks,Head Coach
1999,52,College,Oregon State,Head Coach
2000,53,College,Oregon State,Head Coach
2001,54,College,Oregon State,Head Coach
2002,55,College,Oregon State,Head Coach
2003,56,NFL,San Francisco 49ers,Head Coach
2004,57,NFL,San Francisco 49ers,Head Coach
2006,59,College,Idaho,Head Coach
2007,60,College,Arizona State,Head Coach
2008,61,College,Arizona State,Head Coach
2009,62,College,Arizona State,Head Coach
2010,63,College,Arizona State,Head Coach
2011,64,College,Arizona State,Head Coach
2013,66,College,Utah,Running Backs/Offensive Coordinator
2014,67,College,Utah,Running Backs/Assistant Head Coach
2014,67,College,Utah,Running Backs/Offensive Coordinator
2015,68,College,Utah,Running Backs/Assistant Head Coach
2016,69,College,Utah,Running Backs/Assistant Head Coach
2019,72,AAF,Salt Lake Stallions,Head Coach
