Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1937,31,DET,NFL,11,7,4,0,.636,7.7,3.7,4.0,,,,,2,
1938,32,DET,NFL,11,7,4,0,.636,0.2,-4.1,4.4,,,,,2,
1939,33,RAM,NFL,11,5,5,1,.500,2.2,1.5,0.8,,,,,4,
1940,34,RAM,NFL,11,4,6,1,.400,-0.3,1.0,-1.3,,,,,4,
1941,35,RAM,NFL,11,2,9,0,.182,-7.2,-4.6,-2.6,,,,,5,
1942,36,RAM,NFL,11,5,6,0,.455,-4.9,-3.3,-1.6,,,,,3,
