,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1973,RAM,OC,26,1,1,1,1,1,1,1,1,2,2,5,1,23,13,3,2,1,1,4,5,1,1,1,5,6,11,7,4,8,6
1,1974,RAM,OC,26,4,16,6,4,9,13,5,2,7,7,16,14,22,13,10,4,10,3,1,22,1,1,1,5,26,16,12,18,8,7
2,1975,RAM,OC,26,1,3,3,4,9,11,2,4,7,8,11,1,25,15,19,7,9,2,1,11,2,2,1,4,9,13,3,3,10,4
3,1976,RAM,OC,28,6,4,3,2,5,3,17,2,4,4,11,21,24,9,9,8,4,4,3,2,1,2,5,3,15,25,14,4,1,8
4,1977,SFO,HC,28,19,21,19,12,22,19,2,8,10,9,19,1,28,25,23,10,21,3,20,28,21,12,22,2,25,1,4,12,28,12
5,1978,CHI,OC,28,18,17,19,18,22,20,9,4,4,5,14,1,28,26,27,21,21,12,9,26,14,12,11,14,18,15,15,12,24,11
6,1979,CHI,OC,28,6,4,6,11,24,18,2,2,5,11,15,4,26,26,20,6,20,6,3,6,9,9,2,9,22,11,5,15,2,6
7,1980,CHI,OC,28,17,21,12,15,24,17,17,5,4,2,5,12,27,28,27,17,20,10,4,24,14,14,6,18,13,6,8,10,22,11
