,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2020,WildCard,Sat,"January 9, 2021",boxscore,L,,,Tampa Bay Buccaneers,23,31,23,375,289,86,1,26,507,365,142,1,,,
1,2015,WildCard,Sun,"January 10, 2016",boxscore,L,,,Green Bay Packers,18,35,20,354,270,84,1,24,346,205,141,1,,,
2,2012,WildCard,Sun,"January 6, 2013",boxscore,L,,,Seattle Seahawks,14,24,15,203,99,104,2,22,380,156,224,1,,,
3,2007,WildCard,Sat,"January 5, 2008",boxscore,L,,@,Seattle Seahawks,14,35,21,319,244,75,2,14,304,227,77,2,,,
4,2005,WildCard,Sat,"January 7, 2006",boxscore,W,,@,Tampa Bay Buccaneers,17,10,9,120,25,95,1,17,243,168,75,3,,,
5,2005,Division,Sat,"January 14, 2006",boxscore,L,,@,Seattle Seahawks,10,20,11,289,230,59,1,15,334,215,119,3,,,
6,1999,WildCard,Sat,"January 8, 2000",boxscore,W,,,Detroit Lions,27,13,23,389,166,223,2,14,258,213,45,2,,,
7,1999,Division,Sat,"January 15, 2000",boxscore,L,,@,Tampa Bay Buccaneers,13,14,10,157,111,46,2,12,186,142,44,1,,,
8,1992,WildCard,Sat,"January 2, 1993",boxscore,W,,@,Minnesota Vikings,24,7,24,358,162,196,1,9,148,75,73,2,,,
9,1992,Division,Sat,"January 9, 1993",boxscore,L,,@,San Francisco 49ers,13,20,20,323,250,73,4,22,401,214,187,4,,,
10,1991,Division,Sat,"January 4, 1992",boxscore,W,,,Atlanta Falcons,24,7,22,332,170,162,1,12,193,150,43,6,,,
11,1991,ConfChamp,Sun,"January 12, 1992",boxscore,W,,,Detroit Lions,41,10,17,345,228,117,,20,304,232,72,3,,,
12,1991,SuperBowl,Sun,"January 26, 1992",boxscore,W,,N,Buffalo Bills,37,24,24,417,292,125,1,25,283,240,43,5,,,
13,1990,WildCard,Sat,"January 5, 1991",boxscore,W,,@,Philadelphia Eagles,20,6,15,299,206,93,2,16,318,170,148,3,,,
14,1990,Division,Sat,"January 12, 1991",boxscore,L,,@,San Francisco 49ers,10,28,25,441,361,80,3,20,338,292,46,1,,,
15,1987,Division,Sun,"January 10, 1988",boxscore,W,,@,Chicago Bears,21,17,17,272,200,72,2,15,280,170,110,3,,,
16,1987,ConfChamp,Sun,"January 17, 1988",boxscore,W,,,Minnesota Vikings,17,10,11,280,119,161,,16,259,183,76,1,,,
17,1987,SuperBowl,Sun,"January 31, 1988",boxscore,W,,N,Denver Broncos,42,10,25,602,322,280,1,18,327,230,97,3,,,
18,1986,WildCard,Sun,"December 28, 1986",boxscore,W,,,Los Angeles Rams,19,7,15,228,90,138,,16,324,126,198,6,,,
19,1986,Division,Sat,"January 3, 1987",boxscore,W,,@,Chicago Bears,27,13,19,302,168,134,1,14,220,127,93,4,,,
20,1986,ConfChamp,Sun,"January 11, 1987",boxscore,L,,@,New York Giants,0,17,12,190,150,40,2,12,199,82,117,3,,,
21,1984,Division,Sun,"December 30, 1984",boxscore,L,,,Chicago Bears,19,23,22,336,243,93,1,13,310,196,114,1,,,
22,1983,Division,Sun,"January 1, 1984",boxscore,W,,,Los Angeles Rams,51,7,23,445,315,130,1,12,204,153,51,4,,,
23,1983,ConfChamp,Sun,"January 8, 1984",boxscore,W,,,San Francisco 49ers,24,21,24,410,238,172,2,19,434,347,87,3,,,
24,1983,SuperBowl,Sun,"January 22, 1984",boxscore,L,,N,Los Angeles Raiders,9,38,19,283,193,90,3,18,385,154,231,2,,,
25,1982,WildCard,Sat,"January 8, 1983",boxscore,W,,,Detroit Lions,31,7,18,366,191,175,,20,364,269,95,5,,,
26,1982,Division,Sat,"January 15, 1983",boxscore,W,,,Minnesota Vikings,21,7,23,415,211,204,1,15,317,238,79,,,,
27,1982,ConfChamp,Sat,"January 22, 1983",boxscore,W,,,Dallas Cowboys,31,17,18,260,123,137,,21,340,275,65,3,,,
28,1982,SuperBowl,Sun,"January 30, 1983",boxscore,W,,N,Miami Dolphins,27,17,24,400,124,276,2,9,176,80,96,2,,,
29,1976,Division,Sat,"December 18, 1976",boxscore,L,,@,Minnesota Vikings,20,35,19,365,290,75,2,21,384,163,221,2,,,
30,1974,Division,Sun,"December 22, 1974",boxscore,L,,@,Los Angeles Rams,10,19,13,218,169,49,6,14,226,95,131,2,,,
31,1973,Division,Sat,"December 22, 1973",boxscore,L,,@,Minnesota Vikings,20,27,18,314,159,155,2,17,359,218,141,2,,,
32,1972,Division,Sun,"December 24, 1972",boxscore,W,,,Green Bay Packers,16,3,13,232,94,138,1,10,211,133,78,1,,,
33,1972,ConfChamp,Sun,"December 31, 1972",boxscore,W,,,Dallas Cowboys,26,3,16,316,194,122,1,8,169,73,96,1,,,
34,1972,SuperBowl,Sun,"January 14, 1973",boxscore,L,,N,Miami Dolphins,7,14,16,228,87,141,3,12,253,69,184,2,,,
35,1971,Division,Sun,"December 26, 1971",boxscore,L,,@,San Francisco 49ers,20,24,13,192,93,99,3,11,285,173,112,,,,
36,1945,Championship,Sun,"December 16, 1945",boxscore,L,,@,Cleveland Rams,14,15,8,214,179,35,2,14,372,192,180,3,,,
37,1943,Division,Sun,"December 19, 1943",boxscore,W,,@,New York Giants,28,0,13,296,213,83,3,8,112,57,55,3,,,
38,1943,Championship,Sun,"December 26, 1943",boxscore,L,,@,Chicago Bears,21,41,11,249,199,50,6,14,455,286,169,,,,
39,1942,Championship,Sun,"December 13, 1942",boxscore,W,,,Chicago Bears,14,6,9,170,66,104,2,10,188,119,69,4,,,
40,1940,Championship,Sun,"December 8, 1940",boxscore,L,,,Chicago Bears,0,73,17,231,226,5,9,17,519,138,381,1,,,
41,1937,Championship,Sun,"December 12, 1937",boxscore,W,,@,Chicago Bears,28,21,18,475,398,77,6,11,332,207,125,4,,,
42,1936,Championship,Sun,"December 13, 1936",boxscore,L,,,Green Bay Packers,6,21,8,147,81,66,3,7,232,161,71,3,,,
