,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,391,5558,1029,5.4,17,10,335,307,496,3221,25,7,6.0,175,490,2337,18,4.8,122,105,849,38,171,41.5,8.8,Own 29.6,2:56,6.2,32.3,2.25,207,79,38.2%,24,16,66.7%,53,32,60.4%
1,2023,518,6612,1117,5.9,18,10,364,396,598,4457,39,8,7.0,218,480,2155,15,4.5,121,99,828,25,188,46.8,9.0,Own 31.1,2:46,6.1,35.0,2.53,226,94,41.6%,21,13,61.9%,60,34,56.7%
2,2022,343,5178,998,5.2,18,9,286,308,514,3252,26,9,5.8,155,441,1926,10,4.4,102,85,707,29,197,31.5,7.6,Own 28.7,2:21,5.2,26.3,1.68,210,67,31.9%,25,12,48.0%,52,27,51.9%
3,2021,434,6108,1065,5.7,19,8,346,400,597,4333,34,11,6.8,220,430,1775,14,4.1,101,96,803,25,177,42.4,10.7,Own 28.4,2:49,6.2,34.4,2.36,229,111,48.5%,20,12,60.0%,59,35,59.3%
4,2020,329,4873,1004,4.9,23,7,289,330,529,3068,21,16,5.3,161,428,1805,14,4.2,100,85,708,28,188,31.4,12.2,Own 29.5,2:34,5.5,25.8,1.69,216,81,37.5%,24,9,37.5%,43,23,53.5%
5,2019,435,6162,1079,5.7,22,9,354,371,540,3823,35,13,6.5,200,493,2339,14,4.7,120,94,805,34,176,42.0,11.9,Own 31.9,3:01,6.3,34.9,2.38,227,111,48.9%,19,12,63.2%,59,36,61.0%
6,2018,359,5654,996,5.7,26,11,330,362,537,3794,27,15,6.5,197,413,1860,12,4.5,109,102,791,24,171,35.1,14.6,Own 26.8,2:51,6.0,33.0,1.96,196,86,43.9%,13,5,38.5%,52,27,51.9%
7,2017,388,5566,1045,5.3,23,7,307,306,531,3420,23,16,6.0,171,472,2146,13,4.5,105,100,887,31,195,35.9,11.8,Own 30.3,2:30,5.6,28.4,1.82,226,83,36.7,15,9,60.0,57,29,50.9
8,2016,383,6046,1050,5.8,21,8,368,387,589,4130,22,13,6.6,225,423,1916,19,4.5,109,100,1023,34,169,38.5,11.8,Own 27.8,2:55,6.4,35.7,2.12,208,97,46.6%,16,9,56.3%,54,32,59.3%
9,2015,379,6090,1010,6.0,27,16,329,354,566,4128,30,11,6.8,202,406,1962,10,4.8,103,112,955,24,181,35.4,14.9,Own 27.3,2:31,5.7,33.6,1.97,207,78,37.7%,20,11,55.0%,49,27,55.1%
10,2014,438,5712,976,5.9,19,12,307,345,519,3990,35,7,7.2,195,421,1722,11,4.1,77,144,1164,35,182,37.4,8.8,Own 30.0,2:36,5.5,31.2,2.13,207,89,43.0%,9,5,55.6%,48,25,52.1%
11,2013,478,5665,993,5.7,26,10,329,337,514,3896,29,16,7.1,204,443,1769,23,4.0,102,83,697,23,199,36.7,13.1,Own 32.5,2:22,5.1,28.4,2.15,194,66,34.0%,17,12,70.6%,60,38,63.3%
12,2012,388,6043,1031,5.9,31,10,340,393,636,4511,31,21,6.8,223,363,1532,11,4.2,89,100,811,28,183,38.3,16.9,Own 28.0,2:32,5.8,32.9,2.07,215,95,44.2%,14,8,57.1%,52,30,57.7%
13,2011,367,5437,988,5.5,21,8,295,308,509,3553,22,13,6.5,180,438,1884,15,4.3,95,123,1006,20,190,37.4,10.5,Own 30.7,2:32,5.4,28.6,1.90,206,77,37.4%,10,4,40.0%,57,25,43.9%
14,2010,377,6228,1051,5.9,27,13,326,367,578,4187,23,14,6.9,207,444,2041,15,4.6,106,104,839,13,203,32.5,12.3,Own 31.0,2:36,5.4,30.7,1.72,214,75,35.0%,10,7,70.0%,57,28,49.1%
15,2009,336,5115,1000,5.1,17,6,280,314,511,3316,19,11,6.0,176,449,1799,10,4.0,85,98,763,19,178,33.7,9.6,Own 31.8,2:49,5.8,28.7,1.66,219,87,39.7%,17,4,23.5%,41,16,39.0%
16,2008,296,4621,933,5.0,18,5,259,290,511,3095,16,13,5.8,159,398,1526,12,3.8,86,80,639,14,176,29.5,10.2,Own 28.0,2:35,5.5,26.2,1.52,208,74,35.6%,12,8,66.7%,42,23,54.8%
17,2007,310,4884,1026,4.8,24,10,291,351,602,3424,20,14,5.4,174,391,1460,10,3.7,89,88,684,28,193,29.5,12.4,Own 31.8,2:27,5.5,25.3,1.51,218,78,35.8%,17,10,58.8%,49,24,49.0%
18,2006,376,5688,997,5.7,12,6,301,289,486,3491,30,6,6.9,169,492,2197,9,4.5,104,94,856,28,179,38.5,5.6,Own 29.7,2:42,5.8,31.8,2.03,222,97,43.7%,9,6,66.7%,48,23,47.9%
19,2005,293,4767,981,4.9,28,12,258,291,535,3081,15,16,5.4,158,411,1686,15,4.1,74,105,879,26,196,26.5,13.8,Own 31.7,2:20,5.2,24.3,1.41,222,81,36.5%,13,5,38.5%,37,17,45.9%
20,2004,265,4281,974,4.4,26,8,251,294,515,2977,17,18,5.4,153,419,1304,7,3.1,67,97,797,31,198,20.7,12.6,Own 30.9,2:19,5.0,21.6,1.11,226,70,31.0%,17,7,41.2%,37,19,51.4%
21,2003,372,5412,1014,5.3,30,13,325,285,483,3195,23,17,6.3,176,504,2217,20,4.4,122,95,835,27,188,33.0,14.4,Own 31.8,2:40,5.6,28.8,1.90,209,84,40.2%,11,8,72.7%,58,36,62.1%
22,2002,365,4787,1006,4.8,26,12,281,304,531,3033,19,14,5.3,155,435,1754,14,4.0,96,119,972,30,192,33.3,13.0,Own 35.5,2:32,5.4,24.8,1.69,225,79,35.1%,11,4,36.4%,51,20,39.2%
23,2001,303,4846,982,4.9,34,11,271,262,473,2977,19,23,6.0,149,484,1869,10,3.9,103,83,672,19,190,27.9,16.8,Own 30.2,2:30,5.3,25.4,1.45,210,76,36.2%,17,5,29.4%,45,19,42.2%
24,2000,269,4474,937,4.8,33,16,254,254,462,2621,12,17,5.2,134,430,1853,9,4.3,97,106,790,23,180,28.3,16.7,Own 31.9,2:33,5.4,24.7,1.32,205,72,35.1%,10,4,40.0%,44,13,29.5%
25,1999,377,5705,1068,5.3,37,13,322,328,589,3732,23,24,5.9,193,439,1973,16,4.5,107,102,1137,22,197,32.5,18.3,Own 30.7,2:30,5.6,28.8,1.77,232,91,39.2%,21,11,52.4%,51,28,54.9%
26,1998,421,5354,1057,5.1,21,8,303,281,493,2918,21,13,5.5,152,531,2436,24,4.6,127,95,824,24,,,,,,,,,,,,,,,,,
27,1997,289,5030,1058,4.8,30,14,292,267,513,2818,14,16,5.1,149,508,2212,15,4.4,129,96,849,14,,,,,,,,,,,,,,,,,
28,1996,312,5723,1114,5.1,30,9,358,325,560,3448,12,21,5.8,191,520,2275,20,4.4,146,102,867,21,,,,,,,,,,,,,,,,,
29,1995,359,5400,1059,5.1,35,19,323,338,546,3268,20,16,5.7,182,483,2132,18,4.4,127,100,780,14,,,,,,,,,,,,,,,,,
30,1994,412,5609,1080,5.2,23,6,331,300,496,3634,22,17,6.9,182,556,1975,24,3.6,129,98,839,20,,,,,,,,,,,,,,,,,
31,1993,345,5499,1027,5.4,31,14,304,291,483,3387,24,17,6.6,157,513,2112,14,4.1,127,100,782,20,,,,,,,,,,,,,,,,,
32,1992,255,4438,911,4.9,34,11,249,258,466,2742,15,23,5.4,138,406,1696,11,4.2,89,85,709,22,,,,,,,,,,,,,,,,,
33,1991,224,4293,946,4.5,41,14,242,292,548,2947,13,27,4.9,151,348,1346,11,3.9,72,94,767,19,,,,,,,,,,,,,,,,,
34,1990,301,4730,941,5.0,33,12,267,281,514,3143,21,21,5.6,166,382,1587,8,4.2,77,90,712,24,,,,,,,,,,,,,,,,,
35,1989,308,4915,954,5.2,42,15,274,277,530,3571,25,27,6.3,177,384,1344,9,3.5,72,98,796,25,,,,,,,,,,,,,,,,,
36,1988,387,5184,982,5.3,22,8,294,261,497,3439,24,14,6.4,153,442,1745,17,3.9,113,91,711,28,,,,,,,,,,,,,,,,,
37,1987,285,5022,1021,4.9,34,11,296,276,527,3343,19,23,5.8,177,441,1679,10,3.8,104,97,801,15,,,,,,,,,,,,,,,,,
38,1986,296,5297,1046,5.1,28,9,316,302,532,3492,21,19,5.9,181,459,1805,14,3.9,103,115,1026,32,,,,,,,,,,,,,,,,,
39,1985,312,4480,941,4.8,34,11,244,239,465,2746,19,23,5.3,134,424,1734,11,4.1,94,89,699,16,,,,,,,,,,,,,,,,,
40,1984,310,5361,1031,5.2,43,22,307,318,575,3772,25,21,5.9,194,390,1589,13,4.1,91,84,803,22,,,,,,,,,,,,,,,,,
41,1983,332,5264,970,5.4,61,27,290,301,570,3975,28,34,6.4,196,349,1289,9,3.7,76,80,710,18,,,,,,,,,,,,,,,,,
42,1982,128,2560,554,4.6,24,13,151,146,275,1614,8,11,5.3,93,247,946,8,3.8,47,52,419,11,,,,,,,,,,,,,,,,,
43,1981,349,5206,1016,5.1,39,15,310,214,452,3045,21,24,6.3,152,532,2161,17,4.1,133,108,921,25,,,,,,,,,,,,,,,,,
44,1980,293,4695,1020,4.6,45,12,298,187,392,2171,17,33,5.0,127,585,2524,16,4.3,144,90,766,27,,,,,,,,,,,,,,,,,
45,1979,295,5146,1058,4.9,47,21,320,234,470,2992,18,26,5.8,165,541,2154,21,4.0,126,76,617,29,,,,,,,,,,,,,,,,,
46,1978,283,4914,1069,4.6,32,10,283,197,409,2378,11,22,5.4,133,625,2536,15,4.1,131,91,830,19,,,,,,,,,,,,,,,,,
47,1977,189,4110,962,4.3,33,12,234,167,380,2071,12,21,4.9,102,537,2039,8,3.8,112,100,857,20,,,,,,,,,,,,,,,,,
