Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1985,DEN,OC,28,4,7,8,9,10,8,4,12,16,4,24,1,2,6,8,16,19,13,13,16,15,14,5,16,25,23,14,16,6,9
1986,DEN,OC,28,5,9,9,10,15,6,5,20,20,9,20,8,8,10,9,6,13,9,15,17,4,5,12,13,12,22,16,11,18,11
1987,DEN,OC,28,5,4,5,5,2,4,16,7,12,3,20,14,2,3,9,15,4,9,7,3,11,20,20,26,8,6,5,3,2,9
1988,RAI,HC,28,17,12,18,21,19,16,10,14,18,12,20,10,17,17,10,16,18,19,23,15,25,23,17,21,7,9,11,20,17,17
1989,RAI,HC,28,15,16,13,16,19,18,15,17,9,26,3,5,27,25,12,18,10,10,10,15,22,16,16,15,4,12,5,9,19,8
1991,DEN,OC,28,3,6,7,8,12,12,6,4,8,7,13,7,24,17,20,4,15,5,3,11,9,19,5,27,24,8,3,1,4,4
1992,SFO,OC,28,1,7,1,3,1,1,2,8,3,1,1,11,14,3,2,1,1,15,3,23,2,4,2,16,18,28,26,16,17,13
1993,SFO,OC,28,6,14,1,1,1,1,11,10,3,1,1,12,13,2,1,14,1,15,16,14,5,16,1,28,20,24,16,25,9,3
1994,SFO,OC,28,1,3,1,1,2,1,5,5,6,2,7,15,18,4,1,3,1,8,6,5,2,2,23,8,14,24,17,3,1,6
1995,DEN,HC,30,14,30,8,3,3,9,14,16,5,13,2,22,7,7,8,8,7,15,17,29,19,23,30,24,15,8,9,12,30,14
1996,DEN,HC,30,1,16,4,2,1,4,17,2,1,2,4,25,16,13,5,12,12,4,7,13,1,1,2,18,26,27,10,16,4,4
1997,DEN,HC,30,4,4,1,1,1,1,6,6,4,5,2,7,20,9,4,6,4,5,6,9,1,16,6,30,13,16,5,11,8,5
1998,DEN,HC,30,2,5,2,3,3,2,3,2,2,1,2,3,21,7,5,8,3,11,8,13,1,3,4,7,15,29,26,28,10,12
1999,DEN,HC,31,22,15,20,7,14,18,10,9,12,10,14,8,10,15,26,16,17,7,11,25,20,19,23,19,18,3,8,4,20,12
2000,DEN,HC,31,5,2,5,5,2,2,7,4,3,3,6,17,9,3,6,5,4,24,23,2,1,7,16,29,5,27,31,27,2,25
2001,DEN,HC,31,14,6,15,14,22,10,9,6,10,30,19,3,20,25,8,18,26,8,21,5,7,6,7,9,6,13,16,20,6,18
2002,DEN,HC,32,11,21,8,1,3,7,11,11,5,5,3,4,14,8,18,23,8,6,15,29,3,4,32,9,12,24,17,2,30,8
2003,DEN,HC,32,8,22,9,1,7,10,7,2,2,3,4,2,26,22,16,18,16,4,9,28,2,7,10,19,19,9,6,6,32,7
2004,DEN,HC,32,7,24,7,1,5,9,18,2,4,15,8,5,16,6,8,25,3,4,9,29,3,4,23,9,28,5,6,4,27,8
2005,DEN,HC,32,2,2,3,5,5,7,1,2,2,3,4,5,25,18,20,2,8,15,3,4,1,2,7,15,4,32,29,17,6,11
2006,DEN,HC,32,9,17,14,20,21,17,20,9,8,18,9,16,26,25,16,19,19,14,8,10,13,12,15,14,10,27,21,3,13,15
2007,DEN,HC,32,18,13,23,15,11,21,14,18,9,20,5,23,21,13,16,11,10,19,28,11,29,30,23,31,5,3,7,22,23,19
2008,DEN,HC,32,17,31,25,14,2,16,24,28,12,14,3,20,3,3,7,24,7,29,30,32,25,27,30,30,26,11,26,14,31,27
2010,WAS,HC,32,20,19,27,26,18,25,21,31,30,24,16,21,4,8,22,20,18,31,21,15,20,26,24,26,7,25,31,13,19,29
2011,WAS,HC,32,26,30,24,16,16,26,30,25,25,26,22,22,5,14,23,29,16,13,21,23,18,18,23,18,24,10,12,13,22,22
2012,WAS,HC,32,9,3,12,13,5,4,1,3,1,2,2,5,30,20,13,1,2,28,22,5,1,5,12,17,18,32,30,29,3,24
2013,WAS,HC,32,31,25,30,11,9,23,30,13,5,13,3,29,9,16,24,20,23,18,30,16,19,17,32,14,15,4,20,21,15,30
