,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,akr,132.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1,bff,140.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
2,chi,55.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
3,cib,60.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
4,col,68.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
5,crd,67.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
6,day,148.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
7,dul,16.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
8,fyj,109.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
9,gnb,38.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
10,ham,45.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
11,kcb,124.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
12,ken,117.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
13,mil,188.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
14,mnn,108.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
15,rac,47.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
16,rch,156.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
17,rii,38.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,
