,Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,chi,0.6034272527316002,0.5610185181413324,0.8063308783140497,0.3404697182675543,0.9612254535870209,-0.3629150273454803,0.18084852197912052,1.1107166537104949,1.522544459790783,1.585985374451989,1.0858959610137058,1.7165511597931136,0.5165826709856943,1.5723524981844945,-1.0792548235815755,-1.1357035681013854,-0.6133511360736529,-1.061084703400543,-1.233942439717828,0.0,-0.39409671678411956,-1.1832159566199227,,,,,,,,,,,,,,,,,
1,cle,1.1543825704430617,0.37337147437644536,0.5240081304693422,0.20428183096053232,-0.2136056563526713,0.12097167578182677,0.9042426098956026,-0.144608539402751,-1.150219177047186,0.06225670190754082,-0.46231214181771607,-0.40870265709359843,1.0658604477299771,0.012188779055693755,1.8761813909015503,0.5452582117409838,1.358134658448803,-0.2215451578528611,1.275770996996399,1.0172170559532296,1.0924190962937295,-0.7775419143502349,,,,,,,,,,,,,,,,,
2,clt,-2.072641433295498,-1.456956247592535,-1.88856807838543,-1.15759704210968,-0.7476197972343497,-1.0887450820364408,-1.7228201304326742,-0.5507431607040952,-0.7911912258301453,-1.2623819370961709,-1.1073988513308084,-0.40870265709359843,-0.9743141516059304,-1.0604237778453567,-0.8149475198473123,-0.7922812689938047,-1.139080681279641,-0.6413149306267021,-1.0833596335149744,0.0,0.1159822386837698,-0.7775419143502349,,,,,,,,,,,,,,,,,
3,crd,-1.2540792469813267,-0.9340054698871121,0.4213453130712669,-1.15759704210968,1.281633938116028,1.572631785163748,-1.1517195347091358,-1.104563098842292,-0.0731353233960642,-1.2564683717434757,-1.236416193233427,0.8991458456059166,-1.3666554207089894,-1.255444242736457,0.48256106212088934,0.07789403024871214,-0.35048636347065876,-0.08162190026158057,-0.23005706503213724,1.6953617599220494,1.2600164673760361,0.0338061701891409,,,,,,,,,,,,,,,,,
4,det,1.1701241509491034,0.8486414458793151,0.9603251044111628,0.6128454928815957,-0.9612254535870209,-1.3306884336000944,0.8280958637991308,1.3691659581749867,0.8443805519363728,1.0360237966513408,0.9568786191110873,-0.5721837199310378,0.5165826709856943,1.0848013359567443,-0.11813735545698177,0.0675655400499879,-0.21905397716916167,0.1982246149209799,0.17149708484213907,0.3390723519844099,0.31272697864995574,-1.5888899988896108,,,,,,,,,,,,,,,,,
5,gnb,-0.45125864117319725,-0.6063921885598912,-0.45128863481237413,-0.4766576055745738,-1.0680282817633566,-1.0887450820364408,-0.27603195459971025,0.6307393739907244,1.183462505863578,-0.2767877116469806,-0.46231214181771607,-0.8991458456059166,-1.052782405426542,0.012188779055693755,-1.8481487980812505,-0.6554287738607085,0.04381079543383243,0.1982246149209799,-0.4308341399692754,-1.1867532319454346,-0.904175672252009,0.4394802124588288,,,,,,,,,,,,,,,,,
6,nyg,0.47749460868326626,-0.11266513078506539,-0.9389370174532323,0.20428183096053232,-0.4272113127053426,-0.3629150273454803,-0.6567656850820692,-0.5507431607040952,-0.372325282743598,0.05240075965304891,1.2149133029163242,-0.40870265709359843,0.3596461633444706,-0.6216277318403816,-0.4305005325974747,-0.2577819012098255,-0.6133511360736529,-0.08162190026158057,-0.12966852756356817,-0.8476808799610247,-1.049912516671406,-0.7775419143502349,,,,,,,,,,,,,,,,,
7,phi,0.3358203841288905,-0.12035558339838043,1.3196449653044267,-0.6128454928815945,1.1748311099396922,1.3306884336000944,0.2569952680755923,1.0368739952920687,0.9640565356753864,0.6063047143554938,1.989017354332035,0.8991458456059166,-0.032695105758588486,1.3285769170706194,0.07408613816793698,-0.9962689504186083,-1.139080681279641,-1.3409312185831042,-1.0833596335149744,1.1867532319454346,1.6607927895293777,0.4394802124588288,,,,,,,,,,,,,,,,,
8,pit,-0.6873823487638235,-0.6556110852851075,0.08769115652752178,-0.7490333801886164,0.2136056563526713,0.12097167578182677,-0.35217870069618207,0.4092113987354457,0.6648665763278525,-0.2491910733344033,-0.3332947999150976,0.24522159425615908,-0.7389093901440951,0.15845412772401882,-0.7188357730348529,-0.7742064111460373,-0.35048636347065876,-0.6413149306267021,-0.8323882898435517,-1.4410574959337419,-1.2758046255214712,1.6565023392678926,,,,,,,,,,,,,,,,,
9,ram,0.8080677993101432,2.0083616999672236,0.06202545217800292,2.3832880278728727,0.0,0.3629150273454803,1.5514899517156129,-0.2553725270303904,-0.6316232475114607,1.4736276327507811,-0.3332947999150976,-0.24522159425615908,2.321352508859766,0.6460052899517691,0.8189521759644971,1.4412547364803112,1.4895670447503,1.4575339332425041,1.376159534464968,0.5086085279766148,0.8082322496759055,0.0338061701891409,,,,,,,,,,,,,,,,,
10,sfo,0.7923262188041014,1.2654639775209904,0.8063308783140497,1.157597042109681,-1.7088452508213705,-0.8468017304727874,1.437269832570905,0.33536874031701946,-0.2526492990045845,-0.18414185445475675,-0.97838150942819,-2.0435132854679923,-0.032695105758588486,-0.1340765696126313,1.0592315429956456,2.36565460926613,2.0152965899562885,2.4369967363814675,1.8781022218078134,0.16953617599220494,-0.2337861879227829,1.2508282969982047,,,,,,,,,,,,,,,,,
11,was,-0.8762813148363247,-1.1708714103772153,-1.708908147938798,-0.7490333801886164,1.4952395944686994,1.572631785163748,-0.9994260425161923,-2.2860456335371118,-1.9081670740609382,-1.5876280314944036,-0.3332947999150976,1.2261079712807954,-0.5819728825028714,-1.7429954049642071,0.698812492448923,0.11404374594424696,-0.4819187497721558,-0.2215451578528611,0.3220798910449927,-1.4410574959337419,-1.392394101056989,1.2508282969982047,,,,,,,,,,,,,,,,,
