,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2000,NYG,OC,31,2,9,9,8,13,15,5,6,11,7,19,8,17,13,9,6,12,5,5,12,2,2,2,3,21,29,16,17,9,8
1,2001,NYG,OC,31,16,16,18,7,9,21,17,19,15,14,11,16,5,8,15,13,14,14,16,16,12,8,4,7,9,17,21,24,20,21
2,2002,NYG,OC,32,7,18,12,5,6,22,11,7,14,16,25,15,17,6,20,9,2,9,3,24,8,16,6,25,9,16,9,5,25,6
3,2006,NOR,HC,32,6,22,6,1,1,5,6,12,19,5,26,10,5,1,4,8,2,11,13,31,7,23,7,31,28,4,3,30,28,10
4,2007,NOR,HC,32,18,22,19,14,4,12,19,26,28,10,29,14,1,3,9,20,11,26,25,26,10,13,3,16,18,11,30,31,28,32
5,2008,NOR,HC,32,17,22,10,3,1,1,16,26,28,5,23,6,1,1,1,24,2,23,26,20,19,17,15,19,26,20,23,18,11,23
6,2009,NOR,HC,32,2,3,1,9,1,1,16,7,6,3,7,29,15,4,1,6,2,25,20,2,17,21,28,26,6,27,26,5,3,20
7,2010,NOR,HC,32,5,23,7,4,6,11,21,30,28,24,19,9,2,3,2,30,10,4,7,20,16,16,18,17,3,4,4,1,32,12
8,2011,NOR,HC,32,2,19,1,2,1,2,4,20,6,7,4,1,2,1,2,12,3,24,13,31,1,12,15,29,26,30,30,16,28,16
9,2013,NOR,HC,32,6,14,7,2,4,10,4,26,25,23,26,5,4,2,2,10,4,4,4,29,6,19,11,28,25,2,2,6,24,7
10,2014,NOR,HC,32,20,31,20,9,1,9,28,19,13,5,9,25,2,3,6,24,6,31,28,28,22,29,28,31,30,15,25,17,21,28
11,2015,NOR,HC,32,17,15,22,18,2,8,11,20,24,6,27,7,2,1,10,11,4,31,32,19,19,31,20,32,4,9,31,32,26,32
12,2016,NOR,HC,32,21,23,17,3,1,2,19,19,16,6,13,13,2,1,2,18,4,27,31,17,11,14,28,15,6,19,32,20,27,31
13,2017,NOR,HC,32,5,9,6,5,2,4,9,13,5,1,2,19,19,5,16,2,1,17,10,9,9,16,13,28,29,17,15,12,3,16
14,2018,NOR,HC,32,1,7,1,10,8,3,3,5,7,1,17,15,23,12,7,2,4,14,14,13,4,2,10,2,4,22,29,22,18,28
15,2019,NOR,HC,32,2,2,5,7,9,3,1,17,16,20,18,1,13,7,2,3,9,11,13,10,2,4,9,17,10,30,20,21,12,10
16,2020,NOR,HC,32,4,3,2,2,12,5,7,5,6,1,10,18,25,19,11,5,10,4,5,3,5,4,2,4,15,16,5,16,1,5
