Year,Age,Level,Employer,Role
1962,31,AFL,Boston Patriots,Defensive Backs
1963,32,AFL,Boston Patriots,Defensive Backs
1964,33,NFL,Philadelphia Eagles,Defensive Backs
1965,34,NFL,Philadelphia Eagles,Defensive Backs
1966,35,NFL,Philadelphia Eagles,Defensive Backs
1967,36,NFL,Philadelphia Eagles,Defensive Backs
1968,37,NFL,Philadelphia Eagles,Defensive Backs
1969,38,NFL,Atlanta Falcons,Defensive Backs
1970,39,NFL,Atlanta Falcons,Defensive Backs
1971,40,NFL,Atlanta Falcons,Defensive Backs
1972,41,NFL,Atlanta Falcons,Defensive Backs
1973,42,NFL,Atlanta Falcons,Defensive Backs
1974,43,NFL,Atlanta Falcons,Defensive Backs
1975,44,NFL,Atlanta Falcons,Defensive Coordinator
1976,45,NFL,Atlanta Falcons,Defensive Coordinator
1977,46,NFL,Philadelphia Eagles,Defensive Backs
1978,47,NFL,Philadelphia Eagles,Defensive Backs
1979,48,NFL,Philadelphia Eagles,Defensive Backs
1980,49,NFL,Philadelphia Eagles,Defensive Backs
1981,50,NFL,Philadelphia Eagles,Defensive Backs
1982,51,NFL,Philadelphia Eagles,Defensive Backs
1983,52,NFL,Philadelphia Eagles,Assistant Head Coach/Defensive Backs
1984,53,NFL,Philadelphia Eagles,Assistant Head Coach/Defensive Backs
1985,54,NFL,Philadelphia Eagles,Assistant HC/DB/Interim Head Coach
1985,54,NFL,Philadelphia Eagles,Head Coach
1986,55,NFL,Atlanta Falcons,Defensive Backs
1987,56,NFL,Atlanta Falcons,Assistant Head Coach
1988,57,NFL,Atlanta Falcons,Assistant Head Coach
1989,58,NFL,Atlanta Falcons,Assistant Head Coach
1990,59,NFL,Tampa Bay Buccaneers,Defensive Coordinator
1991,60,NFL,New York Giants,Defensive Backs
1992,61,NFL,New York Giants,Defensive Backs
1993,62,NFL,Indianapolis Colts,Defensive Assistant
1994,63,NFL,Indianapolis Colts,Defensive Assistant
1995,64,NFL,Indianapolis Colts,Defensive Assistant
1996,65,NFL,Indianapolis Colts,Defensive Assistant
