Year,Age,Level,Employer,Role
1938,22,College,Syracuse,Assistant Coach
1939,23,College,Syracuse,Assistant Coach
1940,24,College,Syracuse,Assistant Coach
1941,25,College,Syracuse,Assistant Coach
1942,26,College,Minnesota,Assistant Coach
1943,27,College,Iowa Pre-Flight,Assistant Coach
1946,30,College,Oklahoma,Assistant Coach
1947,31,College,Oklahoma,Head Coach
1948,32,College,Oklahoma,Head Coach
1949,33,College,Oklahoma,Head Coach
1950,34,College,Oklahoma,Head Coach
1951,35,College,Oklahoma,Head Coach
1952,36,College,Oklahoma,Head Coach
1953,37,College,Oklahoma,Head Coach
1954,38,College,Oklahoma,Head Coach
1955,39,College,Oklahoma,Head Coach
1956,40,College,Oklahoma,Head Coach
1957,41,College,Oklahoma,Head Coach
1958,42,College,Oklahoma,Head Coach
1959,43,College,Oklahoma,Head Coach
1960,44,College,Oklahoma,Head Coach
1961,45,College,Oklahoma,Head Coach
1962,46,College,Oklahoma,Head Coach
1963,47,College,Oklahoma,Head Coach
1978,62,NFL,St. Louis Cardinals,Head Coach
1979,63,NFL,St. Louis Cardinals,Head Coach
