Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1971,MIN,DC,26,1,4,4,14,23,18,7,11,17,9,22,4,19,25,25,11,23,2,1,3,11,6,1,8,6,21,3,3,3,1
1972,MIN,DC,26,13,6,10,7,12,12,11,15,20,18,22,22,3,4,7,6,8,5,11,4,13,16,13,20,14,9,1,7,2,5
1973,MIN,DC,26,1,5,5,8,7,9,2,6,6,10,9,16,22,14,9,1,5,12,2,9,4,11,1,23,16,22,12,2,5,7
1974,MIN,DC,26,4,3,4,5,3,5,3,10,15,6,15,2,4,2,2,4,3,10,3,12,5,5,8,9,19,18,18,1,8,15
1975,MIN,DC,26,1,2,2,1,5,3,3,7,10,8,20,5,4,3,3,4,10,1,3,6,1,1,2,14,17,5,1,7,3,1
1976,MIN,DC,28,2,12,5,3,6,9,4,11,18,6,23,18,2,4,9,1,7,6,2,15,8,17,13,21,22,3,1,1,12,2
1977,MIN,DC,28,7,28,14,7,14,16,23,13,21,21,21,27,3,6,4,20,11,11,13,23,20,21,10,21,16,4,3,18,21,4
1978,CHI,HC,28,18,17,19,18,22,20,9,4,4,5,14,1,28,26,27,21,21,12,9,26,14,12,11,14,18,15,15,12,24,11
1979,CHI,HC,28,6,4,6,11,24,18,2,2,5,11,15,4,26,26,20,6,20,6,3,6,9,9,2,9,22,11,5,15,2,6
1980,CHI,HC,28,17,21,12,15,24,17,17,5,4,2,5,12,27,28,27,17,20,10,4,24,14,14,6,18,13,6,8,10,22,11
1981,CHI,HC,28,22,15,23,25,26,27,13,3,11,17,25,9,15,27,26,16,28,19,14,12,17,20,9,19,4,20,14,18,18,12
