Year,Age,Level,Employer,Role
1964,23,College,Hastings College,Linebackers
1965,24,College,Wichita State,Linebackers
1966,25,College,Army,Linebackers
1967,26,College,Army,Linebackers
1968,27,College,Army,Defensive Coordinator
1969,28,College,Army,Defensive Coordinator
1970,29,College,Florida State,Linebackers
1971,30,College,Florida State,Linebackers
1972,31,College,Florida State,Linebackers
1973,32,College,Vanderbilt,Linebackers
1974,33,College,Vanderbilt,Linebackers
1975,34,College,Texas Tech,Linebackers
1976,35,College,Texas Tech,Linebackers
1977,36,College,Texas Tech,Linebackers
1978,37,College,Air Force Academy,Head Coach
1980,39,NFL,New England Patriots,Linebackers
1981,40,NFL,New York Giants,Defensive Coordinator
1982,41,NFL,New York Giants,Defensive Coordinator
1983,42,NFL,New York Giants,Head Coach
1984,43,NFL,New York Giants,Head Coach
1985,44,NFL,New York Giants,Head Coach
1986,45,NFL,New York Giants,Head Coach
1987,46,NFL,New York Giants,Head Coach
1988,47,NFL,New York Giants,Head Coach
1989,48,NFL,New York Giants,Head Coach
1990,49,NFL,New York Giants,Head Coach
1993,52,NFL,New England Patriots,Head Coach
1994,53,NFL,New England Patriots,Head Coach
1995,54,NFL,New England Patriots,Head Coach
1996,55,NFL,New England Patriots,Head Coach
1997,56,NFL,New York Jets,Head Coach
1998,57,NFL,New York Jets,Head Coach
1999,58,NFL,New York Jets,Head Coach
2003,62,NFL,Dallas Cowboys,Head Coach
2004,63,NFL,Dallas Cowboys,Head Coach
2005,64,NFL,Dallas Cowboys,Head Coach
2006,65,NFL,Dallas Cowboys,Head Coach
