Year,Age,Level,Employer,Role
1964,26,College,Air Force,Assistant Coach
1965,27,College,Air Force,Assistant Coach
1966,28,College,Air Force,Assistant Coach
1968,30,College,Colgate,Assistant Coach
1969,31,College,Navy,Assistant Coach
1970,32,College,Navy,Assistant Coach
1971,33,College,Navy,Assistant Coach
1972,34,College,Navy,Assistant Coach
1973,35,College,Oklahoma State,Assistant Coach
1974,36,College,Army,Assistant Coach
1975,37,College,Oklahoma State,Assistant Coach
1976,38,College,UCLA,Assistant Coach
1977,39,College,UCLA,Assistant Coach
1978,40,NFL,San Francisco 49ers,Special Teams/Tight Ends
1979,41,NFL,Cincinnati Bengals,Special Teams/Tight Ends
1980,42,NFL,Cincinnati Bengals,Special Teams/Tight Ends
1981,43,NFL,Kansas City Chiefs,Special Teams/Tight Ends
1982,44,NFL,Kansas City Chiefs,Special Teams/Tight Ends
1983,45,NFL,Philadelphia Eagles,Special Teams/Tight Ends
1984,46,NFL,Philadelphia Eagles,Special Teams/Tight Ends
1985,47,NFL,Philadelphia Eagles,Special Teams/Tight Ends
1986,48,NFL,Kansas City Chiefs,Asst. HC/Special Teams
1987,49,NFL,Kansas City Chiefs,Head Coach
1988,50,NFL,Kansas City Chiefs,Head Coach
1989,51,NFL,Detroit Lions,Special Teams
1990,52,NFL,Detroit Lions,Special Teams
1991,53,NFL,Detroit Lions,Special Teams
1992,54,NFL,Detroit Lions,Special Teams
1993,55,NFL,Detroit Lions,Special Teams
1994,56,NFL,Atlanta Falcons,Asst. HC/Special Teams
1995,57,NFL,Atlanta Falcons,Asst. HC/Special Teams
1996,58,NFL,Atlanta Falcons,Asst. HC/Special Teams
1997,59,NFL,St. Louis Rams,Special Teams
1998,60,NFL,St. Louis Rams,Special Teams
1999,61,NFL,St. Louis Rams,Special Teams
2000,62,NFL,Jacksonville Jaguars,Special Teams
2001,63,NFL,Jacksonville Jaguars,Special Teams
2008,70,College,SMU,Special Teams
