Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1980,DEN,OC,28,14,23,15,21,25,16,12,21,20,13,16,6,18,22,26,17,23,15,16,25,22,20,6,12,20,4,14,10,25,21
1981,DEN,OC,28,6,8,15,7,14,17,11,15,21,20,23,14,16,8,4,11,10,6,9,7,5,13,17,22,3,11,5,3,11,5
1982,DEN,OC,28,25,28,26,24,15,20,28,20,17,17,9,28,6,15,23,28,18,24,25,22,18,7,12,2,22,24,26,21,14,25
1983,STL,OC,28,12,15,21,15,17,9,24,11,7,17,8,27,20,24,5,10,19,6,25,4,5,8,25,14,6,20,14,20,3,4
1984,STL,OC,28,9,17,8,3,3,4,12,16,9,2,7,25,7,3,5,6,3,8,17,18,5,14,8,22,20,10,9,22,10,13
1985,IND,HC,28,22,14,22,21,19,17,6,13,5,3,1,7,22,26,25,8,25,19,21,24,22,18,22,10,12,11,19,21,25,22
1986,IND,HC,28,27,21,27,27,22,27,24,27,26,20,21,24,3,16,21,20,24,25,25,17,22,17,15,12,2,14,26,26,22,27
1987,ATL,OC,28,28,28,28,28,28,28,28,28,28,27,18,14,10,22,20,28,27,28,28,25,28,28,28,27,22,5,18,24,22,28
1988,ATL,OC,28,22,12,22,27,25,25,22,17,14,19,7,24,19,25,23,14,26,25,11,7,23,25,10,25,16,13,21,7,4,21
1989,ATL,OC,28,27,5,26,27,24,22,1,28,28,20,22,3,5,9,18,2,21,28,28,21,28,28,28,25,21,1,19,11,18,27
1993,WAS,OC,28,26,14,24,28,26,25,14,26,16,12,5,4,10,26,25,22,28,26,23,12,25,26,21,21,11,8,20,26,16,26
1999,PHI,OC,31,26,8,25,30,30,25,28,19,17,29,9,31,30,31,22,16,31,24,22,1,29,28,18,13,4,21,15,19,3,11
2000,PHI,OC,31,5,13,6,17,17,12,15,24,15,17,4,20,7,20,12,9,26,10,4,12,21,20,10,13,18,22,7,2,11,3
2001,PHI,OC,31,6,7,3,11,17,9,6,23,14,31,8,8,18,20,4,7,19,7,2,12,19,18,2,16,1,16,2,2,23,4
