Year,Age,Level,Employer,Role
1966,23,College,San Diego State,Assistant Coach
1967,24,College,San Diego State,Assistant Coach
1968,25,College,San Diego State,Assistant Coach
1969,26,College,San Diego State,Assistant Coach
1970,27,College,San Diego State,Assistant Coach
1971,28,College,San Diego State,Assistant Coach
1972,29,College,San Diego State,Assistant Coach
1973,30,NFL,St. Louis Cardinals,Receivers
1974,31,College,UCLA,Offensive Coordinator
1975,32,College,UCLA,Offensive Coordinator
1976,33,College,Boise State,Offensive Coordinator
1977,34,College,Stanford,Offensive Assistant
1978,35,College,Stanford,Offensive Assistant
1979,36,College,Stanford,Head Coach
1980,37,NFL,Denver Broncos,Offensive Coordinator
1981,38,NFL,Denver Broncos,Offensive Coordinator
1982,39,NFL,Denver Broncos,Offensive Coordinator
1983,40,NFL,St. Louis Cardinals,Offensive Coordinator
1984,41,NFL,St. Louis Cardinals,Offensive Coordinator
1985,42,NFL,Indianapolis Colts,Head Coach
1986,43,NFL,Indianapolis Colts,Head Coach
1987,44,NFL,Atlanta Falcons,Offensive Coordinator
1988,45,NFL,Atlanta Falcons,Offensive Coordinator
1989,46,NFL,Atlanta Falcons,Offensive Coordinator
1990,47,NFL,Washington Redskins,Quarterbacks
1991,48,NFL,Washington Redskins,Quarterbacks
1992,49,NFL,Washington Redskins,Quarterbacks
1993,50,NFL,Washington Redskins,Offensive Coordinator
1993,50,NFL,Washington Redskins,Quarterbacks
1994,51,NFL,Cleveland Browns,Quarterbacks
1995,52,College,Vanderbilt,Head Coach
1996,53,College,Vanderbilt,Head Coach
1997,54,NFL,New York Giants,Quarterbacks
1998,55,NFL,New York Giants,Quarterbacks
1999,56,NFL,Philadelphia Eagles,Offensive Coordinator
2000,57,NFL,Philadelphia Eagles,Offensive Coordinator
2001,58,NFL,Philadelphia Eagles,Offensive Coordinator
